Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -24.082401, 11.313710, 268, 100, 104, 0.080529, 0.961538, 62150.000000, 597.596130, 0.053548
1.000000, -23.082401, 10.083356, 201, 100, 116, 0.054149, 0.862069, 67111.000000, 578.543091, 0.055311
2.000000, -22.082401, 8.986799, 171, 100, 128, 0.041748, 0.781250, 74030.000000, 578.359375, 0.055329
3.000000, -21.082401, 8.009494, 133, 100, 190, 0.021875, 0.526316, 109749.000000, 577.626343, 0.055399
4.000000, -20.082401, 7.138470, 133, 100, 276, 0.015059, 0.362319, 159597.000000, 578.250000, 0.055339
5.000000, -19.082401, 6.362167, 108, 100, 598, 0.005644, 0.167224, 345587.000000, 577.904663, 0.055372
6.000000, -18.082401, 5.670288, 104, 100, 1163, 0.002794, 0.085985, 672058.000000, 577.865845, 0.055376
7.000000, -17.082401, 5.053649, 101, 100, 4026, 0.000784, 0.024839, 2328062.000000, 578.256836, 0.055339
8.000000, -16.082401, 4.504069, 101, 100, 15495, 0.000204, 0.006454, 8961660.000000, 578.358154, 0.055329
9.000000, -15.082401, 4.014256, 100, 100, 99791, 0.000031, 0.001002, 57752696.000000, 578.736511, 0.055293
