Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min,demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,0.681818,0.000000,4.000000,46.933334,0.237394,8.400000,6.000000,20.000000,975.238159,2.924698,1.881818,1.000000,4.000000,4353.236816,0.655208,265.263641,0.000000,223.000000,30.882483,92.359070,1.490909,0.000000,4.000000,5494.634277,0.519102,8.863636,0.000000,8.000000,3.610256,3.086127,0.627273,0.000000,23.000000,51.014492,0.218403
1.000000,0.704348,0.000000,5.000000,45.432098,0.308079,6.852174,5.000000,29.000000,1195.532959,2.997109,1.469565,1.000000,7.000000,5574.437500,0.642781,211.060867,0.000000,201.000000,38.813450,92.317055,1.243478,0.000000,5.000000,6587.971680,0.543892,6.965218,0.000000,5.000000,4.594257,3.046554,0.330435,0.000000,2.000000,96.842110,0.144531
2.000000,0.561151,0.000000,10.000000,57.025639,0.280233,5.762590,5.000000,9.000000,1421.583008,2.877775,1.309353,1.000000,4.000000,6256.527344,0.653877,185.064743,0.000000,170.000000,44.265591,92.419342,1.028777,0.000000,10.000000,7962.853027,0.513760,6.215827,0.000000,10.000000,5.148148,3.104117,0.302158,0.000000,2.000000,105.904762,0.150895
3.000000,0.392857,0.000000,2.000000,81.454544,0.210174,5.370536,4.000000,10.000000,1525.359863,2.873179,1.223214,1.000000,3.000000,6697.109375,0.654406,172.866074,0.000000,165.000000,47.389286,92.481491,0.995536,0.000000,2.000000,8228.735352,0.532601,5.790179,0.000000,2.000000,5.526600,3.097683,0.281250,0.000000,2.000000,113.777779,0.150466
4.000000,0.462329,0.000000,7.000000,69.214813,0.253402,5.291096,5.000000,11.000000,1548.261475,2.900047,1.253425,1.000000,8.000000,6535.693848,0.687001,168.688354,0.000000,7.000000,48.562927,92.458008,0.900685,0.000000,7.000000,9095.299805,0.493665,5.623288,0.000000,7.000000,5.690621,3.082121,0.229452,0.000000,2.000000,139.462677,0.125763
5.000000,0.424806,0.000000,4.000000,75.328468,0.234088,5.413953,4.000000,15.000000,1513.127197,2.983340,1.178295,1.000000,3.000000,6952.421387,0.649295,167.762787,0.000000,161.000000,48.830853,92.445107,0.871318,0.000000,4.000000,9401.850586,0.480137,5.586047,0.000000,6.000000,5.728559,3.078172,0.235659,0.000000,2.000000,135.789474,0.129859
6.000000,0.465354,0.000000,3.000000,68.764809,0.258877,5.288976,4.000000,26.000000,1548.881958,2.942259,1.224409,1.000000,15.000000,6690.572266,0.681139,166.054337,0.000000,3.000000,49.333248,92.376068,0.892913,0.000000,3.000000,9174.461914,0.496728,5.599213,0.000000,6.000000,5.715089,3.114843,0.233858,0.000000,9.000000,136.835007,0.130095
7.000000,0.432459,0.000000,5.000000,73.995506,0.237408,5.400875,4.000000,27.000000,1516.791382,2.964933,1.233722,1.000000,11.000000,6640.069336,0.677280,168.269196,0.000000,162.000000,48.683895,92.375206,0.893343,0.000000,5.000000,9170.049805,0.490421,5.679786,0.000000,5.000000,5.634015,3.118048,0.249028,0.000000,2.000000,128.499512,0.136710
8.000000,0.453682,0.000000,10.000000,70.534035,0.250023,5.358206,4.000000,42.000000,1528.869873,2.952892,1.217890,1.000000,18.000000,6726.387207,0.671176,167.650940,0.000000,10.000000,48.863430,92.391937,0.900817,0.000000,10.000000,9093.968750,0.496438,5.628006,0.000000,10.000000,5.685851,3.101577,0.246683,0.000000,12.000000,129.720993,0.135946
9.000000,0.448652,0.000000,21.000000,71.324738,0.247957,5.351115,4.000000,59.000000,1530.895874,2.957403,1.218273,1.000000,21.000000,6724.273438,0.673303,167.305954,0.000000,166.000000,48.964188,92.465057,0.890605,0.000000,21.000000,9198.240234,0.492211,5.622962,0.000000,21.000000,5.690950,3.107645,0.245358,0.000000,21.000000,130.421555,0.135602
