Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -24.082401, 11.313710, 302, 100, 104, 0.090745, 0.961538, 62202.000000, 598.096130, 0.053503
1.000000, -23.082401, 10.083356, 229, 100, 120, 0.059635, 0.833333, 69526.000000, 579.383362, 0.055231
2.000000, -22.082401, 8.986799, 172, 100, 141, 0.038121, 0.709220, 81648.000000, 579.063843, 0.055262
3.000000, -21.082401, 8.009494, 150, 100, 196, 0.023916, 0.510204, 113468.000000, 578.918396, 0.055275
4.000000, -20.082401, 7.138470, 122, 100, 310, 0.012298, 0.322581, 179563.000000, 579.235474, 0.055245
5.000000, -19.082401, 6.362167, 108, 100, 586, 0.005759, 0.170648, 339330.000000, 579.061462, 0.055262
6.000000, -18.082401, 5.670288, 104, 100, 1241, 0.002619, 0.080580, 718610.000000, 579.057190, 0.055262
7.000000, -17.082401, 5.053649, 102, 100, 3931, 0.000811, 0.025439, 2277562.000000, 579.384888, 0.055231
8.000000, -16.082401, 4.504069, 100, 100, 17155, 0.000182, 0.005829, 9941886.000000, 579.532837, 0.055217
9.000000, -15.082401, 4.014256, 100, 100, 101013, 0.000031, 0.000990, 58550772.000000, 579.635986, 0.055207
