Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min,demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,1.798077,1.000000,7.000000,17.796791,0.303709,38.336540,37.000000,45.000000,213.686478,6.475347,15.115385,12.000000,60.000000,541.964355,2.553109,519.451904,1.000000,501.000000,15.770469,87.739555,2.596154,1.000000,7.000000,3155.437256,0.438511,13.942307,1.000000,14.000000,2.295172,2.354966,0.798077,0.000000,1.000000,40.096386,0.134802
1.000000,1.716667,1.000000,2.000000,18.640776,0.298715,37.224998,37.000000,38.000000,220.067169,6.477480,14.250000,10.000000,16.000000,574.877197,2.479626,504.908325,1.000000,503.000000,16.224728,87.858528,2.266667,1.000000,2.000000,3614.117676,0.394420,13.641666,1.000000,14.000000,2.345754,2.373771,0.675000,0.000000,1.000000,47.407406,0.117456
2.000000,1.730496,1.000000,2.000000,18.491804,0.301372,37.163120,37.000000,39.000000,220.433594,6.472092,14.191489,11.000000,18.000000,577.247375,2.471499,504.595734,1.000000,504.000000,16.234779,87.877174,2.234043,1.000000,3.000000,3666.895020,0.389067,13.531915,1.000000,14.000000,2.364780,2.356632,0.758865,0.000000,1.000000,42.168224,0.132159
3.000000,1.632653,1.000000,2.000000,19.599998,0.284333,37.163265,37.000000,38.000000,220.432724,6.472135,14.224490,11.000000,19.000000,575.908142,2.477253,504.535706,1.000000,505.000000,16.236710,87.866966,2.321429,1.000000,2.000000,3528.861572,0.404286,13.642858,1.000000,2.000000,2.345550,2.375960,0.683673,0.000000,1.000000,46.805973,0.119065
4.000000,1.677419,1.000000,2.000000,19.076923,0.291923,37.177418,37.000000,38.000000,220.348816,6.470030,14.238709,11.000000,18.000000,575.333069,2.477979,504.899994,1.000000,2.000000,16.224995,87.868340,2.264516,1.000000,2.000000,3617.549805,0.394096,13.596774,1.000000,2.000000,2.353499,2.366262,0.754839,0.000000,1.000000,42.393162,0.131365
5.000000,1.706485,1.000000,2.000000,18.751999,0.297028,37.247440,37.000000,41.000000,219.934570,6.483222,14.341297,11.000000,20.000000,571.217529,2.496220,504.658691,1.000000,2.000000,16.232754,87.839973,2.279864,1.000000,3.000000,3593.197510,0.396829,13.645051,1.000000,14.000000,2.345173,2.375033,0.641638,0.000000,1.000000,49.872341,0.111682
6.000000,1.671233,1.000000,4.000000,19.147541,0.290907,37.199032,37.000000,42.000000,220.220779,6.475132,14.242546,9.000000,19.000000,575.178040,2.479160,504.781616,1.000000,4.000000,16.228800,87.865929,2.265109,1.000000,4.000000,3616.603271,0.394281,13.661563,1.000000,13.000000,2.342338,2.378030,0.669621,0.000000,1.000000,47.788204,0.116559
7.000000,1.687866,1.000000,4.000000,18.958855,0.293624,37.203510,36.000000,39.000000,220.194275,6.471980,14.323582,10.000000,36.000000,571.924011,2.491752,505.070465,1.000000,503.000000,16.219519,87.862831,2.250064,1.000000,4.000000,3640.785889,0.391425,13.621470,1.000000,4.000000,2.349232,2.369612,0.682778,0.000000,3.000000,46.867359,0.118777
8.000000,1.691752,1.000000,9.000000,18.915306,0.294217,37.217896,36.000000,69.000000,220.109161,6.472672,14.279627,9.000000,28.000000,573.684448,2.483412,505.250000,1.000000,9.000000,16.213755,87.869499,2.257126,1.000000,9.000000,3629.394043,0.392543,13.633401,1.000000,14.000000,2.347177,2.371024,0.670592,0.000000,3.000000,47.719055,0.116625
9.000000,1.684625,0.000000,6.000000,18.995327,0.293297,37.195946,34.000000,43.000000,220.239059,6.475903,14.305346,9.000000,39.000000,572.653015,2.490595,505.367432,0.000000,502.000000,16.209988,87.985672,2.245364,0.000000,6.000000,3648.405518,0.390923,13.633185,0.000000,6.000000,2.347214,2.373570,0.671696,0.000000,4.000000,47.640621,0.116944
