Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -24.082401, 11.313710, 424, 100, 102, 0.129902, 0.980392, 85422.000000, 837.470581, 0.038210
1.000000, -23.082401, 10.083356, 349, 100, 103, 0.105886, 0.970874, 85961.000000, 834.572815, 0.038343
2.000000, -22.082401, 8.986799, 293, 100, 110, 0.083239, 0.909091, 91916.000000, 835.599976, 0.038296
3.000000, -21.082401, 8.009494, 211, 100, 123, 0.053608, 0.813008, 102943.000000, 836.934937, 0.038235
4.000000, -20.082401, 7.138470, 169, 100, 153, 0.034518, 0.653595, 127750.000000, 834.967346, 0.038325
5.000000, -19.082401, 6.362167, 142, 100, 171, 0.025950, 0.584795, 143074.000000, 836.690063, 0.038246
6.000000, -18.082401, 5.670288, 123, 100, 297, 0.012942, 0.336700, 250413.000000, 843.141418, 0.037953
7.000000, -17.082401, 5.053649, 111, 100, 663, 0.005232, 0.150830, 555079.000000, 837.223206, 0.038222
8.000000, -16.082401, 4.504069, 103, 100, 1417, 0.002272, 0.070572, 1182708.000000, 834.656311, 0.038339
9.000000, -15.082401, 4.014256, 102, 100, 4874, 0.000654, 0.020517, 4048878.000000, 830.709473, 0.038521
10.000000, -14.082401, 3.577709, 100, 100, 17624, 0.000177, 0.005674, 14724318.000000, 835.469727, 0.038302
11.000000, -13.082401, 3.188637, 100, 100, 104415, 0.000030, 0.000958, 86320208.000000, 826.703125, 0.038708
12.000000, -12.082401, 2.841876, 100, 100, 823918, 0.000004, 0.000121, 678356224.000000, 823.329773, 0.038867
13.000000, -11.082401, 2.532824, 100, 100, 11541764, 0.000000, 0.000009, 9456593920.000000, 819.336975, 0.039056
