Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -24.082401, 11.313710, 419, 100, 100, 0.130938, 1.000000, 73770.000000, 737.700012, 0.043378
1.000000, -23.082401, 10.083356, 368, 100, 102, 0.112745, 0.980392, 74263.000000, 728.068604, 0.043952
2.000000, -22.082401, 8.986799, 277, 100, 108, 0.080150, 0.925926, 78501.000000, 726.861084, 0.044025
3.000000, -21.082401, 8.009494, 197, 100, 122, 0.050461, 0.819672, 88409.000000, 724.663940, 0.044158
4.000000, -20.082401, 7.138470, 170, 100, 141, 0.037677, 0.709220, 102011.000000, 723.482300, 0.044231
5.000000, -19.082401, 6.362167, 146, 100, 191, 0.023887, 0.523560, 138266.000000, 723.905762, 0.044205
6.000000, -18.082401, 5.670288, 123, 100, 277, 0.013876, 0.361011, 200134.000000, 722.505432, 0.044290
7.000000, -17.082401, 5.053649, 110, 100, 683, 0.005033, 0.146413, 493745.000000, 722.906311, 0.044266
8.000000, -16.082401, 4.504069, 103, 100, 1505, 0.002139, 0.066445, 1087959.000000, 722.896362, 0.044266
9.000000, -15.082401, 4.014256, 102, 100, 3778, 0.000844, 0.026469, 2733189.000000, 723.448669, 0.044233
