Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -24.082401, 11.313710, 1581, 100, 100, 0.494063, 1.000000, 59824.000000, 598.239990, 0.053490
1.000000, -23.082401, 10.083356, 1591, 100, 100, 0.497187, 1.000000, 59713.000000, 597.130005, 0.053590
2.000000, -22.082401, 8.986799, 1637, 100, 100, 0.511563, 1.000000, 59838.000000, 598.380005, 0.053478
3.000000, -21.082401, 8.009494, 1540, 100, 100, 0.481250, 1.000000, 59753.000000, 597.530029, 0.053554
4.000000, -20.082401, 7.138470, 1343, 100, 100, 0.419688, 1.000000, 59730.000000, 597.299988, 0.053574
5.000000, -19.082401, 6.362167, 1181, 100, 100, 0.369063, 1.000000, 59775.000000, 597.750000, 0.053534
6.000000, -18.082401, 5.670288, 801, 100, 100, 0.250313, 1.000000, 59717.000000, 597.169983, 0.053586
7.000000, -17.082401, 5.053649, 531, 100, 100, 0.165937, 1.000000, 59851.000000, 598.510010, 0.053466
8.000000, -16.082401, 4.504069, 300, 100, 107, 0.087617, 0.934579, 63940.000000, 597.570068, 0.053550
9.000000, -15.082401, 4.014256, 146, 100, 158, 0.028877, 0.632911, 94346.000000, 597.126587, 0.053590
10.000000, -14.082401, 3.577709, 110, 100, 409, 0.008405, 0.244499, 244367.000000, 597.474304, 0.053559
11.000000, -13.082401, 3.188637, 105, 100, 1740, 0.001886, 0.057471, 1040300.000000, 597.873535, 0.053523
12.000000, -12.082401, 2.841876, 100, 100, 12107, 0.000258, 0.008260, 7257611.000000, 599.455750, 0.053382
