Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min_demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,0.780000,0.000000,2.000000,41.025642,0.080092,37.549999,37.000000,51.000000,218.162460,3.855711,37.630001,0.000000,37.000000,217.698639,3.863926,549.179993,0.000000,549.000000,14.916785,56.390930,2.630000,0.000000,3.000000,3114.828857,0.270054,344.989990,0.000000,344.000000,0.092756,35.424282,1.120000,0.000000,2.000000,28.571428,0.115004
1.000000,0.750000,0.000000,2.000000,42.666668,0.076470,37.709999,37.000000,43.000000,217.236816,3.844899,38.070000,0.000000,37.000000,215.182556,3.881604,551.450012,0.000000,549.000000,14.855381,56.225655,2.590000,0.000000,3.000000,3162.934570,0.264076,349.140015,0.000000,351.000000,0.091654,35.598198,1.070000,0.000000,2.000000,29.906540,0.109097
2.000000,0.830000,0.000000,2.000000,38.554218,0.084417,38.509998,37.000000,56.000000,212.723984,3.916762,37.910000,0.000000,37.000000,216.090744,3.855738,549.630005,0.000000,544.000000,14.904572,55.901585,2.990000,0.000000,2.000000,2739.799316,0.304106,352.140015,0.000000,348.000000,0.090873,35.815338,1.200000,0.000000,2.000000,26.666666,0.122049
3.000000,0.850000,0.000000,2.000000,37.647057,0.086691,37.910000,37.000000,46.000000,216.090744,3.866434,37.740002,0.000000,37.000000,217.064117,3.849096,547.229980,0.000000,544.000000,14.969940,55.811890,2.660000,0.000000,3.000000,3079.699219,0.271293,352.950012,0.000000,353.000000,0.090664,35.997307,1.150000,0.000000,2.000000,27.826088,0.117288
4.000000,0.760000,0.000000,1.000000,42.105263,0.077845,37.419998,37.000000,38.000000,218.920380,3.832838,37.340000,0.000000,37.000000,219.389389,3.824644,545.030029,0.000000,542.000000,15.030364,55.826084,2.500000,0.000000,3.000000,3276.800049,0.256069,352.059998,0.000000,354.000000,0.090894,36.060638,1.190000,0.000000,1.000000,26.890755,0.121889
5.000000,0.750000,0.000000,1.000000,42.666668,0.076525,37.660000,37.000000,40.000000,217.525223,3.842583,37.580002,0.000000,37.000000,217.988281,3.834420,545.400024,0.000000,547.000000,15.020168,55.649090,2.480000,0.000000,2.000000,3303.225830,0.253043,355.130005,0.000000,356.000000,0.090108,36.235168,1.070000,0.000000,1.000000,29.906540,0.109176
6.000000,0.790000,0.000000,1.000000,40.506329,0.080424,37.730000,37.000000,41.000000,217.121658,3.841025,37.520000,0.000000,38.000000,218.336884,3.819646,545.030029,0.000000,543.000000,15.030364,55.485657,2.420000,0.000000,2.000000,3385.123779,0.246363,357.670013,0.000000,352.000000,0.089468,36.411854,1.130000,0.000000,2.000000,28.318584,0.115037
7.000000,1.170000,0.000000,2.000000,27.350428,0.114607,42.110001,37.000000,57.000000,194.538116,4.124873,39.250000,0.000000,40.000000,208.713379,3.844722,559.229980,0.000000,550.000000,14.648714,54.779209,4.190000,0.000000,3.000000,1955.131226,0.410430,373.290009,0.000000,394.000000,0.085724,36.565514,1.640000,0.000000,2.000000,19.512196,0.160646
8.000000,1.400000,0.000000,9.000000,22.857143,0.137194,42.020000,37.000000,56.000000,194.954788,4.117791,38.939999,0.000000,38.000000,210.374939,3.815963,557.809998,0.000000,548.000000,14.686005,54.663139,4.120000,0.000000,9.000000,1988.349609,0.403743,374.500000,0.000000,361.000000,0.085447,36.699493,1.660000,0.000000,9.000000,19.277109,0.162673
9.000000,0.860000,0.000000,1.000000,37.209301,0.086135,37.419998,37.000000,40.000000,218.920380,3.747884,37.430000,0.000000,37.000000,218.861877,3.748886,548.590027,0.000000,549.000000,14.932827,54.945267,2.530000,0.000000,2.000000,3237.944580,0.253398,370.399994,0.000000,372.000000,0.086393,37.098244,1.200000,0.000000,2.000000,26.666666,0.120189
10.000000,0.780000,0.000000,2.000000,41.025642,0.077843,37.500000,37.000000,39.000000,218.453339,3.742440,37.360001,0.000000,37.000000,219.271942,3.728468,549.119995,0.000000,551.000000,14.918415,54.801300,2.470000,0.000000,2.000000,3316.599121,0.246502,373.730011,0.000000,378.000000,0.085623,37.297657,1.060000,0.000000,2.000000,30.188681,0.105786
11.000000,0.810000,0.000000,2.000000,39.506172,0.080240,37.730000,37.000000,55.000000,217.121658,3.737605,37.599998,0.000000,37.000000,217.872345,3.724727,549.479980,0.000000,548.000000,14.908642,54.432526,2.500000,0.000000,2.000000,3276.800049,0.247655,380.220001,0.000000,381.000000,0.084162,37.665310,1.130000,0.000000,2.000000,28.318584,0.111940
12.000000,0.780000,0.000000,1.000000,41.025642,0.077457,37.660000,36.000000,39.000000,217.525223,3.739784,37.380001,0.000000,37.000000,219.154617,3.711979,548.969971,0.000000,552.000000,14.922492,54.514847,2.490000,0.000000,2.000000,3289.959717,0.247267,378.679993,0.000000,376.000000,0.084504,37.604393,1.050000,0.000000,1.000000,30.476192,0.104269
13.000000,0.730000,0.000000,1.000000,43.835617,0.072238,37.610001,37.000000,39.000000,217.814407,3.721736,37.349998,0.000000,38.000000,219.330658,3.696007,548.780029,0.000000,552.000000,14.927657,54.305084,2.490000,0.000000,2.000000,3289.959717,0.246400,382.470001,0.000000,386.000000,0.083667,37.847706,1.120000,0.000000,1.000000,28.571428,0.110831
14.000000,0.740000,0.000000,1.000000,43.243244,0.073625,37.549999,37.000000,39.000000,218.162460,3.735947,37.419998,0.000000,38.000000,218.920380,3.723012,547.969971,0.000000,546.000000,14.949724,54.518951,2.410000,0.000000,2.000000,3399.169922,0.239777,377.890015,0.000000,380.000000,0.084681,37.597256,1.120000,0.000000,2.000000,28.571428,0.111432
