Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -24.082401, 11.313710, 428, 100, 104, 0.128606, 0.961538, 60444.000000, 581.192322, 0.055059
1.000000, -23.082401, 10.083356, 348, 100, 101, 0.107673, 0.990099, 56868.000000, 563.049500, 0.056833
2.000000, -22.082401, 8.986799, 275, 100, 105, 0.081845, 0.952381, 59224.000000, 564.038086, 0.056734
3.000000, -21.082401, 8.009494, 198, 100, 119, 0.051996, 0.840336, 66998.000000, 563.008423, 0.056838
4.000000, -20.082401, 7.138470, 162, 100, 151, 0.033526, 0.662252, 85052.000000, 563.258301, 0.056812
5.000000, -19.082401, 6.362167, 136, 100, 173, 0.024566, 0.578035, 97458.007812, 563.341064, 0.056804
6.000000, -18.082401, 5.670288, 125, 100, 306, 0.012766, 0.326797, 172326.000000, 563.156860, 0.056823
7.000000, -17.082401, 5.053649, 105, 100, 694, 0.004728, 0.144092, 390820.000000, 563.141235, 0.056824
8.000000, -16.082401, 4.504069, 103, 100, 1582, 0.002035, 0.063211, 890843.000000, 563.111877, 0.056827
9.000000, -15.082401, 4.014256, 102, 100, 4198, 0.000759, 0.023821, 2363783.000000, 563.073608, 0.056831
10.000000, -14.082401, 3.577709, 100, 100, 17734, 0.000176, 0.005639, 9991661.000000, 563.418335, 0.056796
