Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -24.082401, 11.313710, 420, 100, 101, 0.129950, 0.990099, 75174.000000, 744.297058, 0.042994
1.000000, -23.082401, 10.083356, 375, 100, 101, 0.116027, 0.990099, 73004.000000, 722.811890, 0.044272
2.000000, -22.082401, 8.986799, 273, 100, 108, 0.078993, 0.925926, 77953.000000, 721.787048, 0.044334
3.000000, -21.082401, 8.009494, 207, 100, 128, 0.050537, 0.781250, 92185.000000, 720.195312, 0.044432
4.000000, -20.082401, 7.138470, 166, 100, 137, 0.037865, 0.729927, 98820.000000, 721.313843, 0.044363
5.000000, -19.082401, 6.362167, 135, 100, 174, 0.024246, 0.574713, 125097.000000, 718.948303, 0.044509
6.000000, -18.082401, 5.670288, 127, 100, 292, 0.013592, 0.342466, 209806.000000, 718.513672, 0.044536
7.000000, -17.082401, 5.053649, 108, 100, 689, 0.004898, 0.145138, 494401.000000, 717.563110, 0.044595
8.000000, -16.082401, 4.504069, 101, 100, 1409, 0.002240, 0.070972, 1011387.000000, 717.804810, 0.044580
9.000000, -15.082401, 4.014256, 100, 100, 4167, 0.000750, 0.023998, 2988374.000000, 717.152405, 0.044621
