Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min_demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,0.750000,0.000000,1.000000,42.666668,0.084702,38.250000,37.000000,46.000000,214.169937,4.319788,38.299999,0.000000,37.000000,213.890350,4.325435,553.659973,0.000000,546.000000,14.796085,62.527946,2.860000,0.000000,3.000000,2864.335693,0.322996,250.479996,0.000000,253.000000,0.127755,28.288120,1.160000,0.000000,1.000000,27.586208,0.131005
1.000000,0.810000,0.000000,1.000000,39.506172,0.092514,37.660000,37.000000,39.000000,217.525223,4.301345,37.310001,0.000000,37.000000,219.565796,4.261371,546.830017,0.000000,547.000000,14.980889,62.456314,2.610000,0.000000,3.000000,3138.697510,0.298102,249.229996,0.000000,250.000000,0.128395,28.465862,1.090000,0.000000,1.000000,29.357798,0.124495
2.000000,0.790000,0.000000,2.000000,40.506329,0.089616,37.799999,36.000000,42.000000,216.719574,4.287951,37.549999,0.000000,37.000000,218.162460,4.259591,548.710022,0.000000,548.000000,14.929562,62.244488,2.760000,0.000000,2.000000,2968.115967,0.313088,252.860001,0.000000,257.000000,0.126552,28.683895,1.070000,0.000000,2.000000,29.906540,0.121379
3.000000,1.220000,0.000000,2.000000,26.229507,0.132501,41.520000,37.000000,64.000000,197.302505,4.509367,39.110001,0.000000,40.000000,209.460495,4.247624,565.340027,0.000000,557.000000,14.490395,61.399948,4.420000,0.000000,5.000000,1853.393677,0.480043,267.589996,0.000000,283.000000,0.119586,29.062178,1.550000,0.000000,2.000000,20.645163,0.168341
4.000000,1.210000,0.000000,9.000000,26.446280,0.131001,41.680000,37.000000,67.000000,196.545105,4.512483,39.509998,0.000000,37.000000,207.339920,4.277548,565.760010,0.000000,559.000000,14.479638,61.251976,4.810000,0.000000,9.000000,1703.118530,0.520754,269.040009,0.000000,256.000000,0.118941,29.127602,1.650000,0.000000,9.000000,19.393940,0.178637
5.000000,1.270000,0.000000,8.000000,25.196850,0.137242,41.509998,37.000000,54.000000,197.350037,4.485773,38.790001,0.000000,37.000000,211.188446,4.191837,565.440002,0.000000,562.000000,14.487832,61.104206,4.820000,0.000000,8.000000,1699.584961,0.520873,271.899994,0.000000,283.000000,0.117690,29.382841,1.640000,0.000000,8.000000,19.512196,0.177226
6.000000,1.210000,0.000000,2.000000,26.446280,0.130354,41.930000,37.000000,59.000000,195.373245,4.517151,39.230000,0.000000,49.000000,208.819778,4.226278,563.659973,0.000000,584.000000,14.533585,60.723515,4.580000,0.000000,6.000000,1788.646362,0.493407,276.019989,0.000000,285.000000,0.115934,29.735842,1.610000,0.000000,2.000000,19.875776,0.173447
7.000000,0.890000,0.000000,6.000000,35.955055,0.098263,38.820000,37.000000,53.000000,211.025253,4.286046,37.810001,0.000000,37.000000,216.662247,4.174534,553.390015,0.000000,548.000000,14.803303,61.098785,3.390000,0.000000,6.000000,2416.519043,0.374284,270.200012,0.000000,271.000000,0.118431,29.832293,1.230000,0.000000,6.000000,26.016260,0.135802
8.000000,0.780000,0.000000,1.000000,41.025642,0.086793,37.740002,37.000000,40.000000,217.064117,4.199446,37.540001,0.000000,37.000000,218.220566,4.177191,549.309998,0.000000,550.000000,14.913255,61.123413,2.780000,0.000000,3.000000,2946.762695,0.309339,269.480011,0.000000,274.000000,0.118747,29.985870,1.060000,0.000000,1.000000,30.188681,0.117949
9.000000,0.720000,0.000000,2.000000,44.444443,0.079472,37.980000,37.000000,61.000000,215.692474,4.192146,37.720001,0.000000,37.000000,217.179214,4.163447,550.369995,0.000000,547.000000,14.884532,60.748585,2.800000,0.000000,2.000000,2925.714355,0.309058,275.269989,0.000000,277.000000,0.116250,30.383671,1.120000,0.000000,2.000000,28.571428,0.123623
