Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -24.082401, 11.313710, 424, 100, 102, 0.129902, 0.980392, 84853.000000, 831.892151, 0.038467
1.000000, -23.082401, 10.083356, 349, 100, 103, 0.105886, 0.970874, 85294.000000, 828.097107, 0.038643
2.000000, -22.082401, 8.986799, 293, 100, 110, 0.083239, 0.909091, 91127.000000, 828.427246, 0.038627
3.000000, -21.082401, 8.009494, 211, 100, 123, 0.053608, 0.813008, 102346.000000, 832.081299, 0.038458
4.000000, -20.082401, 7.138470, 169, 100, 153, 0.034518, 0.653595, 127143.000000, 831.000000, 0.038508
5.000000, -19.082401, 6.362167, 142, 100, 171, 0.025950, 0.584795, 142222.000000, 831.707581, 0.038475
6.000000, -18.082401, 5.670288, 123, 100, 297, 0.012942, 0.336700, 247945.000000, 834.831665, 0.038331
7.000000, -17.082401, 5.053649, 111, 100, 663, 0.005232, 0.150830, 555119.000000, 837.283569, 0.038219
8.000000, -16.082401, 4.504069, 103, 100, 1417, 0.002272, 0.070572, 1175215.000000, 829.368408, 0.038584
9.000000, -15.082401, 4.014256, 102, 100, 4874, 0.000654, 0.020517, 4038944.000000, 828.671326, 0.038616
10.000000, -14.082401, 3.577709, 100, 100, 17624, 0.000177, 0.005674, 14630539.000000, 830.148621, 0.038547
11.000000, -13.082401, 3.188637, 100, 100, 104415, 0.000030, 0.000958, 86237008.000000, 825.906311, 0.038745
12.000000, -12.082401, 2.841876, 100, 100, 823918, 0.000004, 0.000121, 675684032.000000, 820.086487, 0.039020
13.000000, -11.082401, 2.532824, 100, 100, 11541764, 0.000000, 0.000009, 9427250176.000000, 816.794556, 0.039178
