Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min_demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,1.910891,1.000000,7.000000,16.746115,0.227645,37.722771,37.000000,42.000000,217.163269,4.493931,121.029701,1.000000,133.000000,67.685867,14.418324,545.247498,1.000000,542.000000,15.024370,64.955589,2.831683,1.000000,7.000000,2892.979004,0.337340,129.782181,1.000000,128.000000,0.246567,15.461012,0.891089,1.000000,7.000000,35.911114,0.106156
1.000000,2.514563,2.000000,5.000000,12.725869,0.294559,39.165047,37.000000,49.000000,209.166092,4.587844,118.097084,2.000000,120.000000,69.366661,13.834044,555.912598,2.000000,544.000000,14.736130,65.120316,3.669903,2.000000,5.000000,2232.211670,0.429897,133.203888,2.000000,135.000000,0.240233,15.603676,1.106796,1.000000,5.000000,28.912279,0.129652
2.000000,2.596330,1.000000,9.000000,12.325089,0.303095,39.211010,37.000000,52.000000,208.920914,4.577487,123.522934,1.000000,116.000000,66.319672,14.420048,553.697266,1.000000,548.000000,14.795089,64.638535,3.477064,1.000000,9.000000,2356.010498,0.405912,133.027527,1.000000,129.000000,0.240552,15.529613,1.073395,1.000000,9.000000,29.811964,0.125308
3.000000,1.950413,1.000000,4.000000,16.406780,0.231112,37.966942,37.000000,53.000000,215.766647,4.498849,120.123970,1.000000,121.000000,68.196213,14.233953,550.206604,1.000000,551.000000,14.888952,65.196106,2.785124,1.000000,4.000000,2941.341064,0.330020,129.991730,1.000000,130.000000,0.246170,15.403221,0.900826,0.000000,4.000000,35.522934,0.106742
4.000000,1.828767,1.000000,2.000000,17.498127,0.217739,37.678082,37.000000,41.000000,217.420837,4.486071,118.664383,1.000000,119.000000,69.035034,14.128556,549.321899,1.000000,545.000000,14.912931,65.403999,2.458904,1.000000,2.000000,3331.565674,0.292765,129.109589,1.000000,133.000000,0.247851,15.372195,0.828767,1.000000,2.000000,38.611572,0.098676
5.000000,1.840659,1.000000,4.000000,17.385075,0.218737,37.741756,37.000000,42.000000,217.054016,4.485086,120.423080,1.000000,123.000000,68.026825,14.310619,549.483521,1.000000,548.000000,14.908545,65.298523,2.494505,1.000000,4.000000,3284.017822,0.296438,128.664841,1.000000,129.000000,0.248708,15.290040,0.846154,1.000000,4.000000,37.818180,0.100554
6.000000,2.019608,1.000000,5.000000,15.844661,0.238389,38.356209,37.000000,56.000000,213.576889,4.527465,120.771240,1.000000,124.000000,67.830719,14.255516,552.970581,1.000000,558.000000,14.814531,65.271179,2.898693,1.000000,5.000000,2826.101318,0.342154,129.284317,1.000000,135.000000,0.247516,15.260377,0.888889,1.000000,5.000000,36.000000,0.104922
7.000000,1.916300,1.000000,13.000000,16.698851,0.228957,37.939793,37.000000,61.000000,215.921051,4.533006,119.135094,1.000000,96.000000,68.762276,14.234133,547.173279,1.000000,550.000000,14.971491,65.375671,2.588840,1.000000,13.000000,3164.351562,0.309312,127.395004,1.000000,125.000000,0.251187,15.221017,0.819383,0.000000,13.000000,39.053764,0.097899
8.000000,1.759749,1.000000,3.000000,18.184408,0.213052,37.461002,36.000000,39.000000,218.680740,4.535388,117.483284,1.000000,101.000000,69.729073,14.223649,541.169922,1.000000,541.000000,15.137574,65.519203,2.443593,1.000000,3.000000,3352.440186,0.295845,124.891365,1.000000,125.000000,0.256223,15.120543,0.762535,0.000000,3.000000,41.965298,0.092320
9.000000,1.775434,1.000000,2.000000,18.023766,0.215125,37.458744,36.000000,39.000000,218.693924,4.538792,118.097519,1.000000,135.000000,69.366402,14.309609,541.325134,1.000000,541.000000,15.133234,65.591141,2.429911,1.000000,2.000000,3371.317139,0.294427,123.435768,1.000000,122.000000,0.259244,14.956433,0.779653,0.000000,2.000000,41.043896,0.094469
10.000000,1.767176,0.000000,4.000000,18.107992,0.214403,37.444656,36.000000,42.000000,218.776215,4.542992,118.812866,0.000000,119.000000,68.948761,14.415030,541.290710,0.000000,543.000000,15.134196,65.672363,2.408958,0.000000,4.000000,3400.640137,0.292268,121.726479,0.000000,122.000000,0.262884,14.768525,0.778233,0.000000,4.000000,41.118790,0.094420
11.000000,1.772301,0.000000,5.000000,18.055628,0.215852,37.454376,35.000000,56.000000,218.719437,4.561634,118.467155,0.000000,130.000000,69.149971,14.428322,541.414917,0.000000,544.000000,15.130725,65.939865,2.419581,0.000000,5.000000,3385.710693,0.294685,119.536903,0.000000,119.000000,0.267700,14.558608,0.772931,0.000000,5.000000,41.400826,0.094137
