Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min,demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,1.971154,0.000000,10.000000,16.234146,0.326470,39.096153,10.000000,46.000000,209.534683,6.475244,15.240385,13.000000,37.000000,537.519226,2.524167,534.644226,0.000000,503.000000,15.322339,88.549675,2.740385,0.000000,10.000000,2989.361328,0.453872,8.875000,0.000000,10.000000,3.605634,1.469909,1.211538,0.000000,43.000000,26.412699,0.200659
1.000000,1.823529,1.000000,4.000000,17.548388,0.318870,37.490196,37.000000,54.000000,218.510452,6.555691,14.480392,11.000000,26.000000,565.730530,2.532101,506.549011,1.000000,509.000000,16.172176,88.577255,2.343137,1.000000,4.000000,3496.167236,0.409731,8.401960,1.000000,4.000000,3.808635,1.469202,0.784314,0.000000,1.000000,40.799999,0.137148
2.000000,1.794392,1.000000,3.000000,17.833334,0.313490,37.495327,37.000000,46.000000,218.480560,6.550632,14.626168,12.000000,29.000000,560.092041,2.555269,506.831787,1.000000,513.000000,16.163153,88.546196,2.467290,1.000000,3.000000,3320.242432,0.431049,8.467290,1.000000,3.000000,3.779249,1.479280,0.710280,0.000000,1.000000,45.052631,0.124090
3.000000,1.800000,1.000000,4.000000,17.777779,0.315057,37.308334,37.000000,39.000000,219.575607,6.530142,14.408334,11.000000,18.000000,568.559814,2.521915,506.316681,1.000000,4.000000,16.179598,88.621483,2.341667,1.000000,4.000000,3498.363037,0.409866,8.425000,1.000000,9.000000,3.798219,1.474642,0.725000,0.000000,1.000000,44.137928,0.126898
4.000000,1.814815,1.000000,3.000000,17.632652,0.317296,37.688889,37.000000,78.000000,217.358490,6.589394,14.362963,11.000000,17.000000,570.355835,2.511170,506.681488,1.000000,3.000000,16.167948,88.586418,2.355556,1.000000,3.000000,3477.735840,0.411837,8.370370,1.000000,8.000000,3.823009,1.463446,0.688889,0.000000,1.000000,46.451611,0.120443
5.000000,1.766467,1.000000,4.000000,18.115253,0.309040,37.305389,37.000000,39.000000,219.592941,6.526499,14.365270,11.000000,18.000000,570.264282,2.513174,506.622742,1.000000,507.000000,16.169823,88.632576,2.383234,1.000000,4.000000,3437.346680,0.416942,8.419162,1.000000,8.000000,3.800853,1.472915,0.736527,0.000000,1.000000,43.447155,0.128854
6.000000,1.787375,1.000000,3.000000,17.903345,0.312369,37.318935,37.000000,39.000000,219.513229,6.522017,14.631229,11.000000,50.000000,559.898254,2.557016,507.049835,1.000000,503.000000,16.156202,88.614197,2.372093,1.000000,3.000000,3453.490234,0.414557,8.358804,1.000000,3.000000,3.828299,1.460820,0.681063,0.000000,1.000000,46.985367,0.119025
7.000000,1.793462,1.000000,5.000000,17.842585,0.313585,37.337296,37.000000,46.000000,219.405289,6.528381,14.432392,11.000000,25.000000,567.612061,2.523486,506.797913,1.000000,512.000000,16.164234,88.613007,2.404160,1.000000,5.000000,3407.426514,0.420365,8.439821,1.000000,9.000000,3.791549,1.475693,0.717682,0.000000,2.000000,44.587994,0.125486
8.000000,1.809175,1.000000,4.000000,17.687614,0.316450,37.368351,37.000000,48.000000,219.222946,6.536249,14.442820,10.000000,27.000000,567.202271,2.526252,506.678864,1.000000,505.000000,16.168032,88.625244,2.378989,1.000000,4.000000,3443.479004,0.416119,8.377660,1.000000,8.000000,3.819682,1.465370,0.653590,0.000000,2.000000,48.960323,0.114322
9.000000,1.789246,1.000000,5.000000,17.884624,0.312995,37.342258,37.000000,39.000000,219.376129,6.532318,14.409199,10.000000,20.000000,568.525696,2.520615,506.680206,1.000000,504.000000,16.167990,88.634056,2.375297,1.000000,5.000000,3448.832031,0.415513,8.385662,1.000000,9.000000,3.816037,1.466912,0.672209,0.000000,2.000000,47.604240,0.117590
10.000000,1.796518,1.000000,5.000000,17.812237,0.314215,37.350166,37.000000,52.000000,219.329681,6.532628,14.399028,10.000000,24.000000,568.927307,2.518423,506.766998,1.000000,506.000000,16.165220,88.634689,2.372538,1.000000,5.000000,3452.842041,0.414962,8.390198,1.000000,8.000000,3.813974,1.467464,0.672504,0.000000,2.000000,47.583389,0.117622
11.000000,1.793883,1.000000,5.000000,17.838394,0.313952,37.347633,37.000000,58.000000,219.344559,6.536305,14.391810,9.000000,55.000000,569.212585,2.518748,507.252625,1.000000,5.000000,16.149744,88.775574,2.373675,1.000000,5.000000,3451.188477,0.415423,8.391698,1.000000,9.000000,3.813293,1.468652,0.675134,0.000000,3.000000,47.398014,0.118157
12.000000,1.791372,1.000000,15.000000,17.863403,0.320468,37.165226,36.000000,61.000000,220.421097,6.648691,14.389339,9.000000,52.000000,569.310364,2.574188,509.980499,1.000000,15.000000,16.063360,91.233208,2.372954,1.000000,15.000000,3452.237305,0.424511,8.391862,1.000000,15.000000,3.813218,1.501266,0.674659,0.000000,7.000000,47.431362,0.120693
13.000000,1.790440,0.000000,18.000000,17.872700,0.343449,34.008308,34.000000,76.000000,240.882309,6.523602,15.410862,8.000000,107.000000,531.573120,2.956170,511.843140,0.000000,18.000000,16.004904,98.183685,2.405925,0.000000,18.000000,3404.927979,0.461514,8.072197,0.000000,18.000000,3.964224,1.548440,0.675192,0.000000,13.000000,47.393917,0.129518
