Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min,demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,1.788991,1.000000,4.000000,17.887178,0.309553,38.137615,37.000000,45.000000,214.801056,6.599041,3.449541,2.000000,48.000000,2374.808594,0.596882,517.229370,1.000000,508.000000,15.838234,89.497414,2.614679,1.000000,4.000000,3133.080811,0.452424,13.944954,1.000000,4.000000,2.294737,2.412928,0.761468,0.000000,1.000000,42.024097,0.131759
1.000000,1.771930,1.000000,2.000000,18.059406,0.314926,37.245613,37.000000,38.000000,219.945358,6.619688,2.973684,2.000000,3.000000,2754.831787,0.528515,504.087708,1.000000,2.000000,16.251141,89.591843,2.219298,1.000000,3.000000,3691.256836,0.394437,13.614035,1.000000,14.000000,2.350516,2.419631,0.736842,0.000000,1.000000,43.428574,0.130959
2.000000,1.679104,1.000000,2.000000,19.057777,0.298904,37.276119,37.000000,43.000000,219.765366,6.635669,2.947761,2.000000,3.000000,2779.058105,0.524743,503.194031,1.000000,2.000000,16.280003,89.575554,2.276119,1.000000,3.000000,3599.108154,0.405181,13.708955,1.000000,14.000000,2.334241,2.440385,0.671642,0.000000,1.000000,47.644447,0.119562
3.000000,1.736842,1.000000,2.000000,18.424242,0.309418,37.194736,37.000000,39.000000,220.246216,6.626224,2.931579,2.000000,3.000000,2794.398682,0.522259,502.847382,1.000000,2.000000,16.291225,89.582008,2.242105,1.000000,3.000000,3653.708984,0.399430,13.663157,1.000000,2.000000,2.342065,2.434085,0.710526,0.000000,1.000000,45.037041,0.126580
4.000000,1.784053,1.000000,2.000000,17.936686,0.317295,37.222591,37.000000,40.000000,220.081406,6.620067,2.923588,2.000000,3.000000,2802.036377,0.519962,503.810638,1.000000,2.000000,16.260077,89.603111,2.225914,1.000000,2.000000,3680.286621,0.395880,13.627907,1.000000,14.000000,2.348123,2.423734,0.674419,0.000000,1.000000,47.448273,0.119946
5.000000,1.752961,1.000000,3.000000,18.254827,0.312097,37.213200,37.000000,39.000000,220.136948,6.625436,2.950931,2.000000,3.000000,2776.073486,0.525383,503.187805,1.000000,499.000000,16.280203,89.587524,2.230119,1.000000,3.000000,3673.347412,0.397050,13.670051,1.000000,14.000000,2.340884,2.433815,0.666667,0.000000,1.000000,48.000000,0.118693
6.000000,1.765133,1.000000,2.000000,18.128944,0.314168,37.198547,37.000000,41.000000,220.223648,6.620794,2.953188,2.000000,7.000000,2773.951416,0.525624,503.382568,1.000000,2.000000,16.273905,89.594688,2.230024,1.000000,2.000000,3673.502930,0.396911,13.611784,1.000000,14.000000,2.350904,2.422697,0.702986,0.000000,1.000000,45.520092,0.125121
7.000000,1.762651,1.000000,2.000000,18.154472,0.313689,37.219437,37.000000,41.000000,220.100052,6.623731,2.945141,1.000000,6.000000,2781.530518,0.524130,503.439087,1.000000,507.000000,16.272078,89.594185,2.231527,1.000000,2.000000,3671.028809,0.397132,13.642185,1.000000,14.000000,2.345665,2.427822,0.670399,0.000000,3.000000,47.732796,0.119307
8.000000,1.758949,0.000000,3.000000,18.192682,0.313064,37.204723,36.000000,42.000000,220.187103,6.621829,2.945544,2.000000,9.000000,2781.149658,0.524258,503.403503,0.000000,504.000000,16.273228,89.597549,2.221706,0.000000,3.000000,3687.256592,0.395427,13.627875,0.000000,13.000000,2.348128,2.425538,0.687357,0.000000,2.000000,46.555126,0.122338
9.000000,1.764381,0.000000,6.000000,18.136677,0.313771,37.206490,36.000000,42.000000,220.176651,6.616660,2.946899,1.000000,7.000000,2779.871094,0.524065,503.800964,0.000000,502.000000,16.260389,89.594048,2.229696,0.000000,6.000000,3674.044189,0.396521,13.632662,0.000000,6.000000,2.347304,2.424381,0.678688,0.000000,3.000000,47.149780,0.120695
