Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -24.082401, 11.313710, 290, 100, 107, 0.084696, 0.934579, 63640.000000, 594.766357, 0.053803
1.000000, -23.082401, 10.083356, 233, 100, 117, 0.062233, 0.854701, 67568.000000, 577.504272, 0.055411
2.000000, -22.082401, 8.986799, 157, 100, 137, 0.035812, 0.729927, 79110.000000, 577.445251, 0.055417
3.000000, -21.082401, 8.009494, 142, 100, 193, 0.022992, 0.518135, 111502.000000, 577.730591, 0.055389
4.000000, -20.082401, 7.138470, 120, 100, 289, 0.012976, 0.346021, 166928.000000, 577.605530, 0.055401
5.000000, -19.082401, 6.362167, 104, 100, 615, 0.005285, 0.162602, 355127.000000, 577.442261, 0.055417
6.000000, -18.082401, 5.670288, 103, 100, 1338, 0.002406, 0.074738, 773121.000000, 577.818359, 0.055381
7.000000, -17.082401, 5.053649, 102, 100, 4348, 0.000733, 0.022999, 2511864.000000, 577.705627, 0.055392
8.000000, -16.082401, 4.504069, 101, 100, 15990, 0.000197, 0.006254, 9239483.000000, 577.828857, 0.055380
9.000000, -15.082401, 4.014256, 100, 100, 101646, 0.000031, 0.000984, 58817252.000000, 578.647949, 0.055301
