Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min,demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,1.766355,1.000000,4.000000,18.116402,0.299910,38.205608,37.000000,45.000000,214.418777,6.486932,15.121495,12.000000,56.000000,541.745361,2.567480,516.392517,1.000000,4.000000,15.863901,87.678314,2.672897,1.000000,4.000000,3064.839355,0.453831,14.037383,1.000000,4.000000,2.279627,2.383408,0.766355,0.000000,1.000000,41.756096,0.130119
1.000000,1.743590,1.000000,2.000000,18.352942,0.304350,37.213676,37.000000,38.000000,220.134125,6.495793,14.393163,12.000000,24.000000,569.159119,2.512383,503.025635,1.000000,501.000000,16.285452,87.805092,2.196581,1.000000,2.000000,3729.432129,0.383422,13.615385,1.000000,2.000000,2.350282,2.376619,0.700855,0.000000,1.000000,45.658535,0.122337
2.000000,1.737226,1.000000,2.000000,18.420168,0.303200,37.233578,37.000000,39.000000,220.016464,6.498420,14.445255,11.000000,22.000000,567.106628,2.521147,502.992706,1.000000,502.000000,16.286518,87.787910,2.255475,1.000000,2.000000,3632.051514,0.393651,13.613139,1.000000,14.000000,2.350670,2.375917,0.686131,0.000000,1.000000,46.638298,0.119751
3.000000,1.730570,1.000000,2.000000,18.491018,0.301956,37.222797,37.000000,38.000000,220.080185,6.494775,14.253886,11.000000,19.000000,574.720459,2.487072,503.430054,1.000000,505.000000,16.272369,87.840378,2.222798,1.000000,2.000000,3685.445312,0.387842,13.595855,1.000000,13.000000,2.353659,2.372256,0.663212,0.000000,1.000000,48.250000,0.115720
4.000000,1.719723,1.000000,3.000000,18.607645,0.300085,37.217995,37.000000,38.000000,220.108582,6.494385,14.373702,11.000000,24.000000,569.929749,2.508151,503.193787,1.000000,3.000000,16.280010,87.805222,2.252595,1.000000,3.000000,3636.694336,0.393068,13.640139,1.000000,13.000000,2.346017,2.380147,0.681661,0.000000,1.000000,46.944164,0.118947
5.000000,1.699187,1.000000,2.000000,18.832535,0.296612,37.213009,37.000000,41.000000,220.138077,6.495946,14.208130,10.000000,18.000000,576.571289,2.480188,503.219513,1.000000,502.000000,16.279179,87.842598,2.221138,1.000000,2.000000,3688.198975,0.387725,13.630895,1.000000,13.000000,2.347608,2.379425,0.673171,0.000000,1.000000,47.536232,0.117509
6.000000,1.719731,1.000000,2.000000,18.607561,0.299978,37.211510,37.000000,38.000000,220.146942,6.490921,14.310164,11.000000,28.000000,572.460205,2.496167,503.500732,1.000000,505.000000,16.270086,87.827217,2.248879,1.000000,2.000000,3642.703857,0.392279,13.641255,1.000000,2.000000,2.345825,2.379487,0.653214,0.000000,2.000000,48.988560,0.113942
7.000000,1.712741,1.000000,2.000000,18.683496,0.298813,37.220791,37.000000,41.000000,220.092041,6.493723,14.340386,10.000000,27.000000,571.253784,2.501895,503.371887,1.000000,504.000000,16.274250,87.820747,2.233901,1.000000,2.000000,3667.128418,0.389737,13.632935,1.000000,2.000000,2.347257,2.378469,0.668353,0.000000,1.000000,47.878872,0.116604
8.000000,1.707630,0.000000,6.000000,18.739424,0.297861,37.202000,36.000000,42.000000,220.203217,6.489115,14.339087,10.000000,29.000000,571.305542,2.501155,503.495697,0.000000,510.000000,16.270248,87.824348,2.230019,0.000000,6.000000,3673.511475,0.388980,13.635147,0.000000,14.000000,2.346876,2.378368,0.688931,0.000000,4.000000,46.448803,0.120170
9.000000,1.694587,0.000000,5.000000,18.883656,0.295540,37.211193,36.000000,43.000000,220.148819,6.489727,14.332487,9.000000,43.000000,571.568604,2.499622,504.311005,0.000000,504.000000,16.243944,87.953117,2.238042,0.000000,5.000000,3660.342529,0.390320,13.642081,0.000000,14.000000,2.345683,2.379214,0.683047,0.000000,3.000000,46.848896,0.119125
