Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -24.082401, 11.313710, 293, 100, 109, 0.084002, 0.917431, 63644.000000, 583.889893, 0.054805
1.000000, -23.082401, 10.083356, 206, 100, 114, 0.056469, 0.877193, 64671.000000, 567.289490, 0.056409
2.000000, -22.082401, 8.986799, 158, 100, 134, 0.036847, 0.746269, 75885.000000, 566.305969, 0.056507
3.000000, -21.082401, 8.009494, 153, 100, 190, 0.025164, 0.526316, 107526.000000, 565.926331, 0.056544
4.000000, -20.082401, 7.138470, 123, 100, 301, 0.012770, 0.332226, 170623.000000, 566.853821, 0.056452
5.000000, -19.082401, 6.362167, 107, 100, 591, 0.005658, 0.169205, 334622.000000, 566.196289, 0.056518
6.000000, -18.082401, 5.670288, 107, 100, 1239, 0.002699, 0.080710, 701732.000000, 566.369629, 0.056500
7.000000, -17.082401, 5.053649, 102, 100, 4466, 0.000714, 0.022391, 2529586.000000, 566.409790, 0.056496
8.000000, -16.082401, 4.504069, 101, 100, 13130, 0.000240, 0.007616, 7436429.000000, 566.369324, 0.056500
9.000000, -15.082401, 4.014256, 100, 100, 93859, 0.000033, 0.001065, 53195556.000000, 566.760315, 0.056461
