Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -24.082401, 11.313710, 403, 100, 100, 0.125938, 1.000000, 59270.000000, 592.700012, 0.053990
1.000000, -23.082401, 10.083356, 345, 100, 101, 0.106745, 0.990099, 57788.000000, 572.158386, 0.055929
2.000000, -22.082401, 8.986799, 278, 100, 111, 0.078266, 0.900901, 63554.000000, 572.558533, 0.055889
3.000000, -21.082401, 8.009494, 188, 100, 122, 0.048156, 0.819672, 69982.000000, 573.622925, 0.055786
4.000000, -20.082401, 7.138470, 171, 100, 140, 0.038170, 0.714286, 80234.000000, 573.099976, 0.055837
5.000000, -19.082401, 6.362167, 144, 100, 185, 0.024324, 0.540541, 106067.000000, 573.335144, 0.055814
6.000000, -18.082401, 5.670288, 116, 100, 297, 0.012205, 0.336700, 170203.000000, 573.074097, 0.055839
7.000000, -17.082401, 5.053649, 110, 100, 581, 0.005917, 0.172117, 333188.000000, 573.473328, 0.055800
8.000000, -16.082401, 4.504069, 106, 100, 1569, 0.002111, 0.063735, 900198.000000, 573.739990, 0.055774
9.000000, -15.082401, 4.014256, 101, 100, 4774, 0.000661, 0.020947, 2739173.000000, 573.768982, 0.055772
10.000000, -14.082401, 3.577709, 101, 100, 17657, 0.000179, 0.005663, 10132441.000000, 573.848389, 0.055764
