Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min,demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,1.820000,1.000000,7.000000,17.582417,0.310067,38.389999,37.000000,45.000000,213.388901,6.540369,15.220000,12.000000,63.000000,538.239136,2.592978,519.469971,1.000000,7.000000,15.769920,88.500259,2.810000,1.000000,7.000000,2915.302490,0.478730,8.610000,1.000000,8.000000,3.716609,1.466855,0.650000,0.000000,1.000000,49.230770,0.110738
1.000000,1.712871,1.000000,2.000000,18.682081,0.301883,37.287128,37.000000,39.000000,219.700485,6.571623,14.118812,11.000000,17.000000,580.218811,2.488352,503.098999,1.000000,505.000000,16.283077,88.668045,2.247525,1.000000,2.000000,3644.898682,0.396112,8.277227,1.000000,2.000000,3.866029,1.458809,0.653465,0.000000,1.000000,48.969700,0.115169
2.000000,1.720721,1.000000,2.000000,18.596859,0.303045,37.153152,37.000000,38.000000,220.492737,6.543228,14.225225,12.000000,18.000000,575.878418,2.505276,503.540527,1.000000,2.000000,16.268799,88.681046,2.216216,1.000000,2.000000,3696.390137,0.390309,8.315315,1.000000,8.000000,3.848321,1.464452,0.639640,0.000000,1.000000,50.028172,0.112650
3.000000,1.778689,1.000000,2.000000,17.990784,0.312568,37.237705,37.000000,39.000000,219.992081,6.543752,14.409836,11.000000,17.000000,568.500549,2.532229,504.483612,1.000000,506.000000,16.238386,88.652504,2.245902,1.000000,2.000000,3647.532959,0.394671,8.245902,1.000000,8.000000,3.880716,1.449046,0.655738,0.000000,1.000000,48.799999,0.115232
4.000000,1.678571,1.000000,2.000000,19.063829,0.295282,37.207142,37.000000,38.000000,220.172791,6.545203,14.307143,12.000000,19.000000,572.581116,2.516806,504.078583,1.000000,502.000000,16.251434,88.673744,2.207143,1.000000,2.000000,3711.585693,0.388264,8.392858,1.000000,8.000000,3.812766,1.476409,0.592857,0.000000,1.000000,53.975906,0.104291
5.000000,1.708108,1.000000,2.000000,18.734179,0.300326,37.194595,37.000000,38.000000,220.247055,6.539693,14.329730,11.000000,21.000000,571.678589,2.519507,504.324310,1.000000,2.000000,16.243517,88.672195,2.210811,1.000000,2.000000,3705.427734,0.388713,8.329730,1.000000,2.000000,3.841661,1.464564,0.654054,0.000000,1.000000,48.925621,0.114998
6.000000,1.666667,1.000000,2.000000,19.200001,0.293163,37.225590,37.000000,39.000000,220.063675,6.547902,14.367003,11.000000,20.000000,570.195435,2.527125,504.000000,1.000000,506.000000,16.253969,88.652519,2.245791,1.000000,3.000000,3647.712158,0.395030,8.350168,1.000000,9.000000,3.832258,1.468777,0.656566,0.000000,1.000000,48.738461,0.115488
7.000000,1.700516,1.000000,2.000000,18.817814,0.298901,37.201378,37.000000,39.000000,220.206894,6.538918,14.306368,11.000000,21.000000,572.612122,2.514642,504.537018,1.000000,2.000000,16.236668,88.682899,2.222031,1.000000,2.000000,3686.717529,0.390568,8.332186,1.000000,8.000000,3.840529,1.464555,0.623064,0.000000,1.000000,51.359116,0.109516
8.000000,1.678776,1.000000,4.000000,19.061504,0.294938,37.207138,37.000000,39.000000,220.172806,6.536777,14.247292,10.000000,20.000000,574.986450,2.503051,504.885284,1.000000,504.000000,16.225468,88.701332,2.212237,1.000000,4.000000,3703.038818,0.388659,8.330147,1.000000,9.000000,3.841469,1.463491,0.636074,0.000000,1.000000,50.308617,0.111749
9.000000,1.690616,1.000000,3.000000,18.928013,0.296995,37.209679,36.000000,39.000000,220.157776,6.536719,14.292208,10.000000,31.000000,573.179443,2.510749,504.864899,1.000000,3.000000,16.226124,88.690903,2.222664,1.000000,3.000000,3685.666748,0.390461,8.330121,1.000000,3.000000,3.841481,1.463374,0.630708,0.000000,2.000000,50.736633,0.110798
10.000000,1.697740,1.000000,4.000000,18.848583,0.298184,37.197598,36.000000,39.000000,220.229279,6.533238,14.318570,9.000000,47.000000,572.124146,2.514857,504.939331,1.000000,506.000000,16.223732,88.685539,2.228861,1.000000,4.000000,3675.419678,0.391468,8.329954,1.000000,9.000000,3.841558,1.463040,0.647165,0.000000,3.000000,49.446400,0.113666
