Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -24.082401, 11.313710, 292, 100, 105, 0.086905, 0.952381, 62080.000000, 591.238098, 0.054124
1.000000, -23.082401, 10.083356, 210, 100, 121, 0.054236, 0.826446, 69930.000000, 577.933899, 0.055370
2.000000, -22.082401, 8.986799, 160, 100, 134, 0.037313, 0.746269, 77382.000000, 577.477600, 0.055413
3.000000, -21.082401, 8.009494, 144, 100, 201, 0.022388, 0.497512, 116070.000000, 577.462708, 0.055415
4.000000, -20.082401, 7.138470, 124, 100, 274, 0.014142, 0.364964, 158282.000000, 577.671509, 0.055395
5.000000, -19.082401, 6.362167, 107, 100, 573, 0.005836, 0.174520, 331066.031250, 577.776672, 0.055385
6.000000, -18.082401, 5.670288, 102, 100, 1385, 0.002301, 0.072202, 799927.000000, 577.564636, 0.055405
7.000000, -17.082401, 5.053649, 102, 100, 3537, 0.000901, 0.028273, 2043137.000000, 577.646851, 0.055397
8.000000, -16.082401, 4.504069, 101, 100, 17387, 0.000182, 0.005751, 10043013.000000, 577.616211, 0.055400
9.000000, -15.082401, 4.014256, 100, 100, 93865, 0.000033, 0.001065, 54300312.000000, 578.493713, 0.055316
