Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min,demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,1.828571,1.000000,6.000000,17.500000,0.312312,37.971428,37.000000,45.000000,215.741165,6.485352,14.866667,12.000000,43.000000,551.031372,2.539161,513.838074,1.000000,501.000000,15.942765,87.761276,2.514286,1.000000,6.000000,3258.181641,0.429429,13.828571,1.000000,6.000000,2.314050,2.361859,0.647619,0.000000,3.000000,49.411762,0.110610
1.000000,1.685950,1.000000,2.000000,18.980392,0.294101,37.264462,37.000000,39.000000,219.834122,6.500489,14.355371,11.000000,16.000000,570.657471,2.504181,503.413208,1.000000,2.000000,16.272915,87.816437,2.173554,1.000000,2.000000,3768.942871,0.379159,13.603306,1.000000,13.000000,2.352369,2.372989,0.760331,0.000000,1.000000,42.086956,0.132634
2.000000,1.634328,1.000000,2.000000,19.579908,0.285231,37.164181,37.000000,38.000000,220.427292,6.486064,14.283582,11.000000,21.000000,573.525635,2.492837,503.164185,1.000000,2.000000,16.280968,87.814537,2.305970,1.000000,2.000000,3552.517822,0.402449,13.723881,1.000000,2.000000,2.331702,2.395155,0.708955,0.000000,1.000000,45.136841,0.123730
3.000000,1.696517,1.000000,2.000000,18.862169,0.296184,37.238808,37.000000,38.000000,219.985565,6.501291,14.323383,11.000000,21.000000,571.931885,2.500630,503.024872,1.000000,502.000000,16.285477,87.819969,2.248756,1.000000,2.000000,3642.902832,0.392596,13.621891,1.000000,2.000000,2.349160,2.378161,0.636816,0.000000,1.000000,50.250000,0.111178
4.000000,1.675182,1.000000,2.000000,19.102396,0.292295,37.215328,37.000000,38.000000,220.124359,6.493539,14.313869,11.000000,21.000000,572.312073,2.497564,503.343079,1.000000,506.000000,16.275181,87.826126,2.270073,1.000000,2.000000,3608.694580,0.396095,13.671533,1.000000,2.000000,2.340630,2.385486,0.624088,0.000000,1.000000,51.274857,0.108894
5.000000,1.685864,1.000000,2.000000,18.981367,0.294092,37.216404,37.000000,38.000000,220.117996,6.492241,14.352530,10.000000,23.000000,570.770447,2.503737,503.410126,1.000000,2.000000,16.273014,87.817726,2.280977,1.000000,3.000000,3591.443115,0.397907,13.657941,1.000000,2.000000,2.342959,2.382569,0.640489,0.000000,1.000000,49.961849,0.111730
6.000000,1.685921,1.000000,2.000000,18.980728,0.294200,37.229603,37.000000,38.000000,220.039948,6.496715,14.294585,10.000000,23.000000,573.084106,2.494462,503.320587,1.000000,503.000000,16.275909,87.831459,2.248375,1.000000,2.000000,3643.519531,0.392351,13.635379,1.000000,13.000000,2.346836,2.379428,0.638267,0.000000,2.000000,50.135746,0.111380
7.000000,1.685327,1.000000,3.000000,18.987417,0.294051,37.204411,36.000000,39.000000,220.188950,6.491315,14.354538,10.000000,45.000000,570.690613,2.504537,503.361328,1.000000,3.000000,16.274591,87.824989,2.248233,1.000000,3.000000,3643.750244,0.392265,13.636698,1.000000,3.000000,2.346609,2.379291,0.650834,0.000000,1.000000,49.167683,0.113556
8.000000,1.678841,0.000000,4.000000,19.060774,0.292936,37.211479,36.000000,39.000000,220.147125,6.492933,14.304826,10.000000,28.000000,572.673889,2.496011,503.380920,0.000000,4.000000,16.273958,87.833611,2.247311,0.000000,4.000000,3645.245117,0.392127,13.637891,0.000000,13.000000,2.346404,2.379640,0.646172,0.000000,2.000000,49.522388,0.112749
9.000000,1.685357,0.000000,7.000000,18.987080,0.293951,37.205051,36.000000,358.000000,220.185150,6.489113,14.320471,9.000000,39.000000,572.048218,2.497703,504.240936,0.000000,7.000000,16.246202,87.947105,2.248154,0.000000,7.000000,3643.878174,0.392111,13.631897,0.000000,14.000000,2.347435,2.377605,0.645139,0.000000,3.000000,49.601692,0.112522
