Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -24.082401, 11.313710, 307, 100, 111, 0.086430, 0.900901, 66129.000000, 595.756775, 0.053713
1.000000, -23.082401, 10.083356, 210, 100, 120, 0.054688, 0.833333, 69521.000000, 579.341675, 0.055235
2.000000, -22.082401, 8.986799, 171, 100, 146, 0.036601, 0.684932, 84614.000000, 579.547974, 0.055215
3.000000, -21.082401, 8.009494, 142, 100, 185, 0.023986, 0.540541, 107198.000000, 579.448669, 0.055225
4.000000, -20.082401, 7.138470, 125, 100, 309, 0.012642, 0.323625, 178752.000000, 578.485413, 0.055317
5.000000, -19.082401, 6.362167, 105, 100, 579, 0.005667, 0.172712, 335413.000000, 579.297058, 0.055239
6.000000, -18.082401, 5.670288, 107, 100, 1485, 0.002252, 0.067340, 860599.000000, 579.527954, 0.055217
7.000000, -17.082401, 5.053649, 101, 100, 4787, 0.000659, 0.020890, 2774489.000000, 579.588257, 0.055212
8.000000, -16.082401, 4.504069, 100, 100, 17321, 0.000180, 0.005773, 10040238.000000, 579.656921, 0.055205
9.000000, -15.082401, 4.014256, 100, 100, 101238, 0.000031, 0.000988, 58721488.000000, 580.034058, 0.055169
