Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min,demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,1.838095,1.000000,6.000000,17.409327,0.310299,38.428570,37.000000,45.000000,213.174728,6.487347,15.266666,11.000000,65.000000,536.593872,2.577253,519.361877,1.000000,503.000000,15.773202,87.676453,2.790476,1.000000,6.000000,2935.699707,0.471076,14.038095,1.000000,14.000000,2.279511,2.369851,0.638095,0.000000,2.000000,50.149254,0.107721
1.000000,1.695652,1.000000,2.000000,18.871796,0.295930,37.208694,37.000000,38.000000,220.163589,6.493762,14.226087,11.000000,18.000000,575.843506,2.482775,503.252167,1.000000,2.000000,16.278122,87.828926,2.252174,1.000000,2.000000,3637.374512,0.393055,13.678261,1.000000,2.000000,2.339479,2.387167,0.678261,0.000000,1.000000,47.179489,0.118372
2.000000,1.737589,1.000000,2.000000,18.416327,0.303327,37.127659,37.000000,38.000000,220.644135,6.481286,14.347518,12.000000,23.000000,570.969849,2.504612,503.035461,1.000000,2.000000,16.285133,87.813690,2.248227,1.000000,2.000000,3643.760254,0.392468,13.631206,1.000000,13.000000,2.347555,2.379567,0.716312,0.000000,1.000000,44.673267,0.125045
3.000000,1.769231,1.000000,2.000000,18.086958,0.308831,37.219780,37.000000,38.000000,220.098022,6.496969,14.219780,11.000000,18.000000,576.098938,2.482161,503.137360,1.000000,507.000000,16.281836,87.826088,2.247253,1.000000,2.000000,3645.339844,0.392273,13.659341,1.000000,13.000000,2.342719,2.384332,0.626374,0.000000,1.000000,51.087719,0.109338
4.000000,1.731449,1.000000,2.000000,18.481632,0.302163,37.176678,37.000000,39.000000,220.353195,6.487876,14.250883,10.000000,20.000000,574.841553,2.486989,503.321564,1.000000,2.000000,16.275877,87.837013,2.240283,1.000000,2.000000,3656.681152,0.390962,13.628975,1.000000,13.000000,2.347939,2.378456,0.667845,0.000000,1.000000,47.915344,0.116549
5.000000,1.779633,1.000000,3.000000,17.981239,0.310581,37.188648,37.000000,38.000000,220.282272,6.490147,14.297162,10.000000,22.000000,572.980835,2.495135,503.213684,1.000000,3.000000,16.279367,87.820633,2.255426,1.000000,3.000000,3632.130371,0.393616,13.637730,1.000000,13.000000,2.346432,2.380051,0.629382,0.000000,1.000000,50.843502,0.109840
6.000000,1.744934,1.000000,3.000000,18.338806,0.304483,37.204052,37.000000,39.000000,220.191071,6.491943,14.285814,10.000000,21.000000,573.435974,2.492812,503.338226,1.000000,504.000000,16.275339,87.830307,2.243885,1.000000,3.000000,3650.810547,0.391548,13.624738,1.000000,3.000000,2.348669,2.377457,0.638714,0.000000,1.000000,50.100655,0.111453
7.000000,1.763564,0.000000,7.000000,18.145075,0.307399,37.225266,37.000000,69.000000,220.065582,6.488563,14.337234,10.000000,30.000000,571.379395,2.499057,503.839081,0.000000,7.000000,16.259159,87.821838,2.241489,0.000000,7.000000,3654.712891,0.390704,13.641223,0.000000,14.000000,2.345831,2.377738,0.657979,0.000000,3.000000,48.633793,0.114689
8.000000,1.761277,0.000000,4.000000,18.168638,0.307028,37.191242,36.000000,40.000000,220.266907,6.483221,14.311791,10.000000,34.000000,572.395142,2.494848,503.878937,0.000000,4.000000,16.257874,87.836761,2.229953,0.000000,4.000000,3673.620850,0.388728,13.630441,0.000000,14.000000,2.347686,2.376074,0.650158,0.000000,4.000000,49.218784,0.113336
9.000000,1.765323,0.000000,5.000000,18.126999,0.307954,37.193676,35.000000,41.000000,220.252502,6.488289,14.323204,9.000000,37.000000,571.939087,2.498626,504.181091,0.000000,503.000000,16.248131,87.952385,2.236910,0.000000,5.000000,3662.194824,0.390220,13.638073,0.000000,5.000000,2.346373,2.379107,0.645189,0.000000,3.000000,49.597904,0.112551
