Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -6.020600, 1.414214, 267, 100, 106, 0.078715, 0.943396, 2648, 24.981133, 1.280967
1.000000, -5.020600, 1.260419, 205, 100, 126, 0.050843, 0.793651, 2984, 23.682539, 1.351206
2.000000, -4.020600, 1.123350, 169, 100, 143, 0.036932, 0.699301, 3198, 22.363636, 1.430894
3.000000, -3.020600, 1.001187, 146, 100, 195, 0.023397, 0.512821, 4150, 21.282051, 1.503614
4.000000, -2.020600, 0.892308, 119, 100, 296, 0.012563, 0.337838, 5881, 19.868244, 1.610610
5.000000, -1.020600, 0.795271, 106, 100, 563, 0.005884, 0.177620, 11202, 19.896980, 1.608284
6.000000, -0.020600, 0.708786, 105, 100, 1295, 0.002534, 0.077220, 25688, 19.836294, 1.613205
7.000000, 0.979400, 0.631706, 101, 100, 4038, 0.000782, 0.024765, 80039, 19.821445, 1.614413
8.000000, 1.979400, 0.563009, 100, 100, 14831, 0.000211, 0.006743, 293631, 19.798462, 1.616287
9.000000, 2.979400, 0.501782, 100, 100, 95710, 0.000033, 0.001045, 1895204, 19.801525, 1.616037
