Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min,demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,2.273585,2.000000,8.000000,14.074689,964.728088,1.471698,1.000000,2.000000,86.974358,624.471313,1.424528,1.000000,3.000000,89.854301,604.456238,10.698113,2.000000,11.000000,11.964726,4539.426270,0.839623,1.000000,8.000000,152.449448,356.268890,1.283019,2.000000,8.000000,24.941177,544.410828,1.018868,0.000000,3.000000,31.407406,432.326294
1.000000,2.126984,2.000000,3.000000,15.044776,1131.635376,1.492064,1.000000,2.000000,85.787231,793.833862,1.396825,1.000000,2.000000,91.636360,743.163574,10.071428,2.000000,3.000000,12.709220,5358.377930,0.777778,0.000000,3.000000,164.571426,413.806976,1.333333,1.000000,3.000000,24.000000,709.383423,0.928571,0.000000,1.000000,34.461540,494.034851
2.000000,1.993007,1.000000,3.000000,16.056141,1274.390259,1.349650,1.000000,2.000000,94.839378,863.008240,1.391608,1.000000,2.000000,91.979904,889.837463,9.601398,1.000000,3.000000,13.331391,6139.431152,0.804196,1.000000,3.000000,159.165207,514.227661,1.258741,1.000000,3.000000,25.422222,804.878052,0.846154,0.000000,1.000000,37.818180,541.056946
3.000000,1.851282,1.000000,2.000000,17.285318,1696.265015,1.261539,1.000000,2.000000,101.463409,1155.903687,1.292308,1.000000,3.000000,99.047615,1184.096436,9.158975,1.000000,2.000000,13.975364,8392.047852,0.676923,1.000000,2.000000,189.090897,620.240967,1.174359,1.000000,2.000000,27.248909,1076.024048,0.789744,0.000000,1.000000,40.519482,723.614441
4.000000,1.760135,1.000000,2.000000,18.180422,2622.275146,1.192568,1.000000,2.000000,107.331444,1776.704712,1.222973,1.000000,2.000000,104.662979,1822.003052,8.547297,1.000000,9.000000,14.975493,12733.888672,0.685811,1.000000,2.000000,186.640396,1021.730957,1.114865,1.000000,2.000000,28.703032,1660.941895,0.695946,0.000000,1.000000,45.980583,1036.830322
5.000000,1.738899,1.000000,6.000000,18.402451,4920.344727,1.159858,0.000000,2.000000,110.358353,3281.905029,1.198934,1.000000,2.000000,106.761475,3392.474854,8.548845,1.000000,8.000000,14.972782,24189.599609,0.701599,1.000000,6.000000,182.440506,1985.225952,1.108348,1.000000,6.000000,28.871796,3136.154297,0.724689,0.000000,1.000000,44.156860,2050.562500
6.000000,1.782239,0.000000,2.000000,17.954939,11635.237305,1.208494,1.000000,4.000000,105.916931,7889.578125,1.233977,0.000000,4.000000,103.729660,8055.939941,8.553668,0.000000,9.000000,14.964340,55842.082031,0.672587,0.000000,2.000000,190.309998,4390.940918,1.095753,0.000000,2.000000,29.203663,7153.554199,0.690347,0.000000,4.000000,46.353466,4506.890137
7.000000,1.776622,1.000000,3.000000,18.011709,36193.121094,1.191431,0.000000,3.000000,107.433800,24271.691406,1.233036,1.000000,2.000000,103.808800,25119.259766,8.561417,1.000000,3.000000,14.950797,174412.109375,0.666171,1.000000,3.000000,192.142746,13571.159180,1.091382,1.000000,3.000000,29.320625,22233.496094,0.692917,0.000000,3.000000,46.181557,14116.023438
8.000000,1.768121,1.000000,3.000000,18.098310,132449.687500,1.183872,0.000000,3.000000,108.119827,88683.656250,1.223249,1.000000,3.000000,104.639397,91633.382812,8.562605,1.000000,9.000000,14.948722,641423.562500,0.675072,1.000000,3.000000,189.609268,50569.585938,1.094599,1.000000,3.000000,29.234447,81996.265625,0.693615,0.000000,2.000000,46.135124,51958.582031
9.000000,1.770620,0.000000,4.000000,18.072769,855823.000000,1.196500,0.000000,4.000000,106.978706,578324.125000,1.228900,0.000000,4.000000,104.158203,593984.562500,8.552586,0.000000,4.000000,14.966234,4133863.250000,0.672030,0.000000,4.000000,190.467667,324823.468750,1.092112,0.000000,4.000000,29.301035,527868.437500,0.682844,0.000000,8.000000,46.862827,330050.343750
