Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -6.020600, 1.414214, 273, 100, 105, 0.081250, 0.952381, 2623, 24.980953, 1.280976
1.000000, -5.020600, 1.260419, 207, 100, 120, 0.053906, 0.833333, 2839, 23.658333, 1.352589
2.000000, -4.020600, 1.123350, 177, 100, 143, 0.038680, 0.699301, 3237, 22.636364, 1.413655
3.000000, -3.020600, 1.001187, 137, 100, 183, 0.023395, 0.546448, 4061, 22.191257, 1.442009
4.000000, -2.020600, 0.892308, 115, 100, 322, 0.011161, 0.310559, 6601, 20.500000, 1.560976
5.000000, -1.020600, 0.795271, 117, 100, 635, 0.005758, 0.157480, 12705, 20.007874, 1.599370
6.000000, -0.020600, 0.708786, 103, 100, 1094, 0.002942, 0.091408, 21859, 19.980804, 1.601537
7.000000, 0.979400, 0.631706, 103, 100, 3556, 0.000905, 0.028121, 70676, 19.875141, 1.610052
8.000000, 1.979400, 0.563009, 100, 100, 15648, 0.000200, 0.006391, 310583, 19.848095, 1.612245
9.000000, 2.979400, 0.501782, 100, 100, 86650, 0.000036, 0.001154, 1730182, 19.967478, 1.602606
10.000000, 3.979400, 0.447214, 100, 100, 885366, 0.000004, 0.000113, 17402623, 19.655853, 1.628014
