Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min,demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,2.200000,2.000000,9.000000,14.545454,924.704468,1.447619,1.000000,2.000000,88.421051,608.463562,1.466667,1.000000,3.000000,87.272728,616.469666,10.771428,2.000000,9.000000,11.883289,4527.449219,0.904762,1.000000,9.000000,141.473679,380.289703,1.323810,2.000000,9.000000,24.172663,556.423889,0.990476,0.000000,3.000000,32.307693,416.317169
1.000000,2.100000,2.000000,3.000000,15.238096,1065.163696,1.441667,1.000000,2.000000,88.786125,731.243408,1.450000,1.000000,2.000000,88.275856,735.470215,9.958333,2.000000,11.000000,12.853557,5051.074219,0.716667,1.000000,3.000000,178.604660,363.508270,1.233333,1.000000,3.000000,25.945946,625.572388,0.916667,0.000000,1.000000,34.909092,464.952484
2.000000,2.027972,2.000000,3.000000,15.779310,1281.124390,1.370629,1.000000,2.000000,93.387749,865.863464,1.314685,1.000000,2.000000,97.361702,830.522095,9.601398,2.000000,10.000000,13.331391,6065.461426,0.727273,2.000000,3.000000,176.000000,459.437714,1.251748,2.000000,3.000000,25.564247,790.763000,0.881119,0.000000,1.000000,36.317459,556.626526
3.000000,1.961749,1.000000,3.000000,16.311977,1617.754150,1.349727,1.000000,2.000000,94.834007,1113.051025,1.360656,1.000000,2.000000,94.072289,1122.063599,9.464480,1.000000,3.000000,13.524250,7804.875000,0.693989,1.000000,3.000000,184.440933,572.297485,1.213115,1.000000,3.000000,26.378378,1000.393982,0.863388,0.000000,1.000000,37.063290,711.992065
4.000000,1.822981,1.000000,2.000000,17.553663,2863.414795,1.214286,1.000000,4.000000,105.411766,1907.317261,1.263975,0.000000,2.000000,101.267815,1985.365967,8.785714,1.000000,9.000000,14.569106,13800.000000,0.639752,1.000000,2.000000,200.077667,1004.878113,1.086957,1.000000,2.000000,29.440001,1707.317139,0.670807,0.000000,1.000000,47.703701,1053.658691
5.000000,1.782677,1.000000,2.000000,17.950529,5657.772949,1.200000,1.000000,2.000000,106.666664,3808.501221,1.198425,1.000000,2.000000,106.806831,3803.502686,8.548032,1.000000,2.000000,14.974207,27129.322266,0.650394,1.000000,2.000000,196.803864,2064.187744,1.081890,1.000000,2.000000,29.577875,3433.648193,0.714961,0.000000,3.000000,44.757710,2269.106934
6.000000,1.797989,1.000000,2.000000,17.797661,9844.448242,1.193784,0.000000,2.000000,107.222054,6536.272949,1.223949,1.000000,3.000000,104.579536,6701.431641,8.560329,1.000000,2.000000,14.952696,46869.984375,0.645338,1.000000,2.000000,198.345596,3533.391113,1.072212,1.000000,2.000000,29.844841,5870.634277,0.695612,0.000000,1.000000,46.002628,3808.655273
7.000000,1.783746,1.000000,2.000000,17.939775,31914.238281,1.185883,1.000000,2.000000,107.936447,21217.458984,1.218785,1.000000,3.000000,105.022614,21806.134766,8.559618,1.000000,8.000000,14.953938,153146.093750,0.669291,1.000000,2.000000,191.247070,11974.756836,1.082396,1.000000,2.000000,29.564043,19365.900391,0.692632,0.000000,1.000000,46.200565,12392.365234
8.000000,1.779588,1.000000,4.000000,17.981686,140300.625000,1.193763,1.000000,3.000000,107.223984,94114.828125,1.221562,0.000000,2.000000,104.783882,96306.476562,8.561158,1.000000,8.000000,14.951248,674951.500000,0.663407,1.000000,4.000000,192.943268,52302.250000,1.085953,1.000000,4.000000,29.467192,85615.273438,0.691654,0.000000,2.000000,46.265915,54529.164062
9.000000,1.780254,1.000000,4.000000,17.974964,772551.250000,1.192591,0.000000,8.000000,107.329353,517531.531250,1.217980,0.000000,4.000000,105.092003,528549.437500,8.560612,1.000000,4.000000,14.952203,3714925.750000,0.672475,1.000000,4.000000,190.341522,291824.500000,1.095672,1.000000,4.000000,29.205814,475473.156250,0.704651,0.000000,3.000000,45.412560,305787.218750
10.000000,1.761805,0.000000,4.000000,18.163193,7935763.000000,1.185647,0.000000,9.000000,107.957886,5340557.000000,1.208871,0.000000,5.000000,105.883949,5445161.500000,8.547897,0.000000,4.000000,14.974442,38502616.000000,0.653574,0.000000,4.000000,195.846298,2943917.000000,1.074947,0.000000,4.000000,29.768896,4841926.500000,0.672589,0.000000,3.000000,47.577381,3029565.750000
