Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -24.082401, 11.313710, 280, 100, 104, 0.084135, 0.961538, 30287.000000, 291.221161, 0.109882
1.000000, -23.082401, 10.083356, 206, 100, 108, 0.059606, 0.925926, 24717.000000, 228.861115, 0.139823
2.000000, -22.082401, 8.986799, 180, 100, 142, 0.039613, 0.704225, 28817.000000, 202.936615, 0.157685
3.000000, -21.082401, 8.009494, 140, 100, 189, 0.023148, 0.529101, 35694.000000, 188.857147, 0.169440
4.000000, -20.082401, 7.138470, 127, 100, 271, 0.014645, 0.369004, 51009.000000, 188.225098, 0.170009
5.000000, -19.082401, 6.362167, 115, 100, 682, 0.005269, 0.146628, 126611.000000, 185.646622, 0.172370
6.000000, -18.082401, 5.670288, 104, 100, 1248, 0.002604, 0.080128, 229092.000000, 183.567307, 0.174323
7.000000, -17.082401, 5.053649, 100, 100, 4104, 0.000761, 0.024366, 763384.000000, 186.009750, 0.172034
8.000000, -16.082401, 4.504069, 100, 100, 15917, 0.000196, 0.006283, 2888762.250000, 181.489120, 0.176319
9.000000, -15.082401, 4.014256, 100, 100, 97565, 0.000032, 0.001025, 17804072.000000, 182.484207, 0.175358
