Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min,demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,0.692308,0.000000,2.000000,46.222221,0.240296,8.548077,6.000000,12.000000,958.344238,2.966993,1.798077,1.000000,3.000000,4555.978516,0.624103,266.182678,0.000000,221.000000,30.775856,92.390610,1.586538,0.000000,2.000000,5163.442383,0.550679,8.855769,0.000000,2.000000,3.613464,3.073791,0.442308,0.000000,2.000000,72.347832,0.153523
1.000000,0.648148,0.000000,4.000000,49.371429,0.286076,6.675926,5.000000,9.000000,1227.095703,2.946585,1.527778,1.000000,6.000000,5362.036133,0.674323,209.305557,0.000000,4.000000,39.138950,92.382202,1.046296,0.000000,4.000000,7829.522461,0.461809,7.009259,0.000000,4.000000,4.565390,3.093710,0.351852,0.000000,2.000000,90.947372,0.155299
2.000000,0.450704,0.000000,2.000000,71.000000,0.224231,6.035211,5.000000,10.000000,1357.367554,3.002593,1.394366,1.000000,3.000000,5875.070801,0.693714,185.654922,0.000000,173.000000,44.124874,92.365631,0.880282,0.000000,2.000000,9306.112305,0.437951,6.274648,0.000000,6.000000,5.099888,3.121715,0.309859,0.000000,2.000000,103.272728,0.154159
3.000000,0.439153,0.000000,2.000000,72.867470,0.234656,5.534391,5.000000,8.000000,1480.198853,2.957225,1.285714,1.000000,3.000000,6371.555664,0.687003,172.846558,0.000000,169.000000,47.394638,92.358147,0.910053,0.000000,2.000000,9001.674805,0.486274,5.841270,0.000000,5.000000,5.478261,3.121201,0.291005,0.000000,2.000000,109.963638,0.155495
4.000000,0.476015,0.000000,2.000000,67.224808,0.255289,5.553505,5.000000,10.000000,1475.104370,2.978369,1.243542,1.000000,3.000000,6587.631836,0.666917,172.343170,0.000000,2.000000,47.533070,92.428406,0.845018,0.000000,2.000000,9694.462891,0.453187,5.752768,0.000000,2.000000,5.562540,3.085235,0.247232,0.000000,2.000000,129.432846,0.132592
5.000000,0.410557,0.000000,2.000000,77.942856,0.223259,5.523460,5.000000,8.000000,1483.128174,3.003628,1.221408,1.000000,3.000000,6707.015625,0.664195,169.939880,0.000000,2.000000,48.205284,92.412392,0.872434,0.000000,2.000000,9389.822266,0.474425,5.670088,0.000000,5.000000,5.643651,3.083363,0.255132,0.000000,2.000000,125.425293,0.138739
6.000000,0.419872,0.000000,2.000000,76.213737,0.230830,5.447917,4.000000,10.000000,1503.694092,2.995062,1.241987,1.000000,11.000000,6595.880859,0.682798,168.055283,0.000000,161.000000,48.745865,92.390533,0.875000,0.000000,2.000000,9362.286133,0.481042,5.612179,0.000000,2.000000,5.701885,3.085367,0.244391,0.000000,2.000000,130.937698,0.134357
7.000000,0.452729,0.000000,7.000000,70.682457,0.245714,5.645955,4.000000,54.000000,1450.950317,3.064286,1.235380,1.000000,11.000000,6631.157227,0.670490,170.097946,0.000000,166.000000,48.160488,92.318985,0.857456,0.000000,7.000000,9553.841797,0.465376,5.695907,0.000000,7.000000,5.618070,3.091397,0.264864,0.000000,2.000000,120.816925,0.143752
8.000000,0.440724,0.000000,6.000000,72.607841,0.245113,5.418986,4.000000,26.000000,1511.721924,3.013826,1.198907,1.000000,12.000000,6832.891602,0.666785,166.141983,0.000000,6.000000,49.307224,92.401634,0.816046,0.000000,6.000000,10038.652344,0.453853,5.547905,0.000000,6.000000,5.767943,3.085526,0.239618,0.000000,5.000000,133.545883,0.133266
9.000000,0.442782,0.000000,23.000000,72.270370,0.245013,5.485461,4.000000,60.000000,1493.402344,3.035375,1.209768,0.000000,22.000000,6771.547363,0.669424,166.994492,0.000000,169.000000,49.055511,92.406242,0.829673,0.000000,23.000000,9873.775391,0.459099,5.593809,0.000000,23.000000,5.720610,3.095329,0.241347,0.000000,20.000000,132.589294,0.133549
