Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -24.082401, 11.313710, 398, 100, 101, 0.123144, 0.990099, 59231.000000, 586.445557, 0.054566
1.000000, -23.082401, 10.083356, 357, 100, 104, 0.107272, 0.961538, 59678.000000, 573.826904, 0.055766
2.000000, -22.082401, 8.986799, 267, 100, 112, 0.074498, 0.892857, 64363.000000, 574.669617, 0.055684
3.000000, -21.082401, 8.009494, 206, 100, 129, 0.049903, 0.775194, 74017.000000, 573.775208, 0.055771
4.000000, -20.082401, 7.138470, 165, 100, 136, 0.037914, 0.735294, 78075.000000, 574.080872, 0.055741
5.000000, -19.082401, 6.362167, 129, 100, 174, 0.023168, 0.574713, 99923.000000, 574.270142, 0.055723
6.000000, -18.082401, 5.670288, 120, 100, 285, 0.013158, 0.350877, 163505.000000, 573.701782, 0.055778
7.000000, -17.082401, 5.053649, 107, 100, 683, 0.004896, 0.146413, 391991.000000, 573.925354, 0.055756
8.000000, -16.082401, 4.504069, 104, 100, 1461, 0.002225, 0.068446, 838790.000000, 574.120483, 0.055737
9.000000, -15.082401, 4.014256, 100, 100, 4342, 0.000720, 0.023031, 2490758.000000, 573.643005, 0.055784
10.000000, -14.082401, 3.577709, 100, 100, 17860, 0.000175, 0.005599, 10249653.000000, 573.888733, 0.055760
