Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min,demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,1.762376,1.000000,7.000000,18.157305,0.303563,37.990101,37.000000,45.000000,215.635117,6.543650,14.663366,11.000000,47.000000,558.671143,2.525709,514.257446,1.000000,503.000000,15.929765,88.578896,2.683168,1.000000,7.000000,3053.106934,0.462166,8.455445,1.000000,9.000000,3.784544,1.456418,0.752475,0.000000,1.000000,42.526314,0.129611
1.000000,1.673077,1.000000,2.000000,19.126438,0.293899,37.144230,37.000000,38.000000,220.545700,6.524897,14.192307,11.000000,17.000000,577.214111,2.493075,504.855774,1.000000,500.000000,16.226416,88.684891,2.298077,1.000000,2.000000,3564.719727,0.403689,8.375000,1.000000,8.000000,3.820895,1.471184,0.730769,0.000000,1.000000,43.789474,0.128370
2.000000,1.696429,1.000000,2.000000,18.863159,0.297703,37.223213,37.000000,38.000000,220.077728,6.532230,14.375000,12.000000,17.000000,569.878235,2.522641,505.339294,1.000000,504.000000,16.210890,88.681023,2.241071,1.000000,2.000000,3655.394287,0.393281,8.258928,1.000000,8.000000,3.874595,1.449343,0.705357,0.000000,1.000000,45.367088,0.123782
3.000000,1.643411,1.000000,2.000000,19.471699,0.288699,37.224808,37.000000,38.000000,220.068298,6.539295,14.279070,12.000000,16.000000,573.706848,2.508409,504.689911,1.000000,503.000000,16.231749,88.659050,2.271318,1.000000,3.000000,3606.716797,0.399003,8.403101,1.000000,9.000000,3.808118,1.476176,0.736434,0.000000,1.000000,43.452633,0.129370
4.000000,1.647059,1.000000,2.000000,19.428572,0.289189,37.161766,37.000000,38.000000,220.441620,6.524827,14.382353,11.000000,17.000000,569.586914,2.525239,504.955872,1.000000,2.000000,16.223200,88.659653,2.257353,1.000000,2.000000,3629.029541,0.396344,8.397058,1.000000,2.000000,3.810858,1.474347,0.742647,0.000000,1.000000,43.089108,0.130393
5.000000,1.660920,1.000000,2.000000,19.266436,0.291572,37.270115,37.000000,39.000000,219.800766,6.542706,14.425287,12.000000,18.000000,567.891663,2.532335,505.086212,1.000000,2.000000,16.219013,88.667046,2.241379,1.000000,2.000000,3654.892334,0.393470,8.293103,1.000000,2.000000,3.858628,1.455840,0.666667,0.000000,1.000000,48.000000,0.117032
6.000000,1.652632,1.000000,2.000000,19.363058,0.290343,37.235088,37.000000,38.000000,220.007538,6.541653,14.242105,11.000000,18.000000,575.195862,2.502127,504.778961,1.000000,2.000000,16.228886,88.682175,2.252632,1.000000,2.000000,3636.635498,0.395754,8.368421,1.000000,8.000000,3.823900,1.470207,0.670175,0.000000,1.000000,47.748692,0.117740
7.000000,1.710102,1.000000,2.000000,18.712330,0.300341,37.262077,37.000000,39.000000,219.848190,6.544250,14.354320,11.000000,19.000000,570.699280,2.521015,504.850647,1.000000,2.000000,16.226582,88.665718,2.234261,1.000000,2.000000,3666.537354,0.392398,8.323572,1.000000,2.000000,3.844503,1.461849,0.651537,0.000000,1.000000,49.114605,0.114428
8.000000,1.713895,1.000000,3.000000,18.670927,0.300896,37.229294,37.000000,38.000000,220.041779,6.536070,14.323750,9.000000,22.000000,571.917236,2.514714,505.088287,1.000000,505.000000,16.218946,88.674591,2.238193,1.000000,3.000000,3660.095459,0.392943,8.326488,1.000000,3.000000,3.843157,1.461820,0.677618,0.000000,1.000000,47.224243,0.118964
9.000000,1.684017,1.000000,3.000000,19.002188,0.295884,37.222248,36.000000,39.000000,220.083435,6.539999,14.300323,9.000000,23.000000,572.854187,2.512586,504.659149,1.000000,504.000000,16.232738,88.669281,2.254491,1.000000,3.000000,3633.635986,0.396117,8.342009,1.000000,3.000000,3.836007,1.465702,0.685398,0.000000,3.000000,46.688171,0.120425
10.000000,1.687458,1.000000,4.000000,18.963434,0.296371,37.214390,36.000000,40.000000,220.129898,6.536029,14.309014,10.000000,37.000000,572.506226,2.513118,504.914001,1.000000,506.000000,16.224545,88.678932,2.248880,1.000000,4.000000,3642.701904,0.394975,8.330907,1.000000,9.000000,3.841118,1.463172,0.668477,0.000000,3.000000,47.870007,0.117406
