Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -24.082401, 11.313710, 280, 100, 104, 0.084135, 0.961538, 60232.000000, 579.153870, 0.055253
1.000000, -23.082401, 10.083356, 224, 100, 119, 0.058824, 0.840336, 68784.000000, 578.016785, 0.055362
2.000000, -22.082401, 8.986799, 164, 100, 141, 0.036348, 0.709220, 81447.000000, 577.638306, 0.055398
3.000000, -21.082401, 8.009494, 139, 100, 186, 0.023353, 0.537634, 107521.000000, 578.069885, 0.055357
4.000000, -20.082401, 7.138470, 129, 100, 309, 0.013046, 0.323625, 178800.000000, 578.640747, 0.055302
5.000000, -19.082401, 6.362167, 109, 100, 631, 0.005398, 0.158479, 364919.000000, 578.318542, 0.055333
6.000000, -18.082401, 5.670288, 103, 100, 1337, 0.002407, 0.074794, 773537.000000, 578.561707, 0.055310
7.000000, -17.082401, 5.053649, 101, 100, 3284, 0.000961, 0.030451, 1899131.000000, 578.298096, 0.055335
8.000000, -16.082401, 4.504069, 100, 100, 16477, 0.000190, 0.006069, 9530151.000000, 578.391174, 0.055326
9.000000, -15.082401, 4.014256, 100, 100, 97860, 0.000032, 0.001022, 56626476.000000, 578.647827, 0.055301
