Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min,demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,1.750000,1.000000,3.000000,18.285715,0.304924,37.192307,37.000000,38.000000,220.260605,6.480473,14.278846,11.000000,27.000000,573.715820,2.487979,503.875000,1.000000,501.000000,16.258001,87.796341,2.423077,1.000000,3.000000,3380.825439,0.422202,13.615385,1.000000,13.000000,2.350282,2.372376,0.778846,0.000000,1.000000,41.086422,0.135708
1.000000,1.806723,1.000000,3.000000,17.711628,0.315171,37.226891,37.000000,39.000000,220.055984,6.493982,14.411765,12.000000,23.000000,568.424500,2.514036,503.235291,1.000000,3.000000,16.278667,87.786034,2.210084,1.000000,3.000000,3706.646484,0.385534,13.672269,1.000000,3.000000,2.340504,2.385036,0.689076,0.000000,1.000000,46.439022,0.120205
2.000000,1.744681,1.000000,2.000000,18.341463,0.304493,37.205673,37.000000,38.000000,220.181473,6.493378,14.326241,12.000000,18.000000,571.817810,2.500310,503.056732,1.000000,2.000000,16.284445,87.796761,2.262411,1.000000,2.000000,3620.915283,0.394851,13.730496,1.000000,2.000000,2.330579,2.396336,0.652482,0.000000,1.000000,49.043480,0.113875
3.000000,1.666667,1.000000,2.000000,19.200001,0.290673,37.215054,37.000000,38.000000,220.125977,6.490450,14.424731,11.000000,17.000000,567.913513,2.515729,503.457001,1.000000,2.000000,16.271500,87.804855,2.225806,1.000000,3.000000,3680.463623,0.388189,13.747312,1.000000,14.000000,2.327728,2.397585,0.645161,0.000000,1.000000,49.600002,0.112519
4.000000,1.766990,1.000000,2.000000,18.109890,0.307776,37.207119,37.000000,38.000000,220.172913,6.480761,14.407767,11.000000,22.000000,568.582214,2.509555,504.132690,1.000000,499.000000,16.249691,87.810173,2.284790,1.000000,2.000000,3585.450439,0.397966,13.666667,1.000000,2.000000,2.341463,2.380469,0.650485,0.000000,1.000000,49.194027,0.113302
5.000000,1.754358,1.000000,2.000000,18.240290,0.305770,37.193344,37.000000,39.000000,220.254456,6.482487,14.225039,11.000000,18.000000,575.885925,2.479305,504.006348,1.000000,2.000000,16.253763,87.844063,2.244057,1.000000,2.000000,3650.531250,0.391120,13.632330,1.000000,2.000000,2.347361,2.376000,0.695721,0.000000,1.000000,45.995445,0.121258
6.000000,1.787584,1.000000,4.000000,17.901255,0.311432,37.209423,36.000000,39.000000,220.159286,6.482605,14.363501,10.000000,24.000000,570.334534,2.502401,504.115936,1.000000,503.000000,16.250231,87.826797,2.238594,1.000000,4.000000,3659.440186,0.390007,13.601346,1.000000,14.000000,2.352708,2.369619,0.672401,0.000000,1.000000,47.590656,0.117145
7.000000,1.753654,1.000000,3.000000,18.247612,0.305653,37.214676,36.000000,39.000000,220.128204,6.486339,14.304506,11.000000,39.000000,572.686646,2.493207,503.926300,1.000000,507.000000,16.256346,87.831924,2.234470,1.000000,3.000000,3666.193604,0.389457,13.642204,1.000000,14.000000,2.345662,2.377771,0.663520,0.000000,2.000000,48.227627,0.115648
8.000000,1.753596,0.000000,5.000000,18.248217,0.305583,37.213085,36.000000,44.000000,220.137619,6.484785,14.324209,9.000000,29.000000,571.898926,2.496149,504.021057,0.000000,504.000000,16.253288,87.831146,2.238393,0.000000,5.000000,3659.768799,0.390064,13.631608,0.000000,13.000000,2.347485,2.375456,0.670328,0.000000,4.000000,47.737801,0.116812
9.000000,1.758471,0.000000,5.000000,18.197624,0.306651,37.204178,34.000000,43.000000,220.190323,6.487857,14.310331,9.000000,40.000000,572.453552,2.495510,504.300842,0.000000,505.000000,16.244272,87.942596,2.233957,0.000000,5.000000,3667.036377,0.389569,13.621847,0.000000,5.000000,2.349167,2.375448,0.674903,0.000000,4.000000,47.414227,0.117693
