Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -24.082401, 11.313710, 286, 100, 106, 0.084316, 0.943396, 63623.000000, 600.216980, 0.053314
1.000000, -23.082401, 10.083356, 218, 100, 117, 0.058226, 0.854701, 67949.000000, 580.760681, 0.055100
2.000000, -22.082401, 8.986799, 161, 100, 135, 0.037269, 0.740741, 78258.007812, 579.688965, 0.055202
3.000000, -21.082401, 8.009494, 150, 100, 189, 0.024802, 0.529101, 109633.000000, 580.068787, 0.055166
4.000000, -20.082401, 7.138470, 127, 100, 316, 0.012559, 0.316456, 183405.000000, 580.395569, 0.055135
5.000000, -19.082401, 6.362167, 108, 100, 563, 0.005995, 0.177620, 326785.000000, 580.435181, 0.055131
6.000000, -18.082401, 5.670288, 100, 100, 1513, 0.002065, 0.066094, 877952.000000, 580.272278, 0.055147
7.000000, -17.082401, 5.053649, 101, 100, 4739, 0.000666, 0.021101, 2750209.000000, 580.335327, 0.055141
8.000000, -16.082401, 4.504069, 100, 100, 15217, 0.000205, 0.006572, 8831803.000000, 580.390564, 0.055135
9.000000, -15.082401, 4.014256, 100, 100, 102684, 0.000030, 0.000974, 59615688.000000, 580.574280, 0.055118
