Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min,demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,1.785047,1.000000,6.000000,17.926702,0.303980,38.093456,37.000000,47.000000,215.050064,6.487037,14.915888,12.000000,55.000000,549.213013,2.540066,515.056091,1.000000,6.000000,15.905064,87.710281,2.691589,1.000000,6.000000,3043.555420,0.458358,13.943925,1.000000,13.000000,2.294906,2.374548,0.738318,0.000000,1.000000,43.341774,0.125730
1.000000,1.706897,1.000000,2.000000,18.747475,0.297333,37.241379,37.000000,39.000000,219.970367,6.487266,14.310345,11.000000,18.000000,572.453003,2.492792,504.155182,1.000000,2.000000,16.248964,87.821365,2.250000,1.000000,2.000000,3640.888916,0.391939,13.681034,1.000000,2.000000,2.339005,2.383169,0.724138,0.000000,1.000000,44.190479,0.126141
2.000000,1.703125,1.000000,2.000000,18.788990,0.296760,37.289062,37.000000,41.000000,219.689087,6.497414,14.304688,10.000000,21.000000,572.679382,2.492513,503.906250,1.000000,505.000000,16.256992,87.802887,2.328125,1.000000,3.000000,3518.711426,0.405663,13.710938,1.000000,2.000000,2.333903,2.389055,0.664062,0.000000,1.000000,48.188236,0.115709
3.000000,1.681319,1.000000,2.000000,19.032681,0.293036,37.186813,37.000000,39.000000,220.293137,6.481269,14.423077,12.000000,20.000000,567.978699,2.513790,503.796692,1.000000,2.000000,16.260527,87.806442,2.258242,1.000000,2.000000,3627.601074,0.393588,13.692307,1.000000,2.000000,2.337079,2.386425,0.719780,0.000000,1.000000,44.458015,0.125450
4.000000,1.692308,1.000000,2.000000,18.909090,0.294836,37.264214,37.000000,39.000000,219.835587,6.492212,14.311037,11.000000,21.000000,572.425293,2.493285,504.183960,1.000000,503.000000,16.248037,87.839485,2.217391,1.000000,3.000000,3694.431396,0.386316,13.605351,1.000000,14.000000,2.352016,2.370339,0.709030,0.000000,1.000000,45.132076,0.123528
5.000000,1.702359,1.000000,2.000000,18.797441,0.296637,37.270416,37.000000,39.000000,219.798996,6.494397,14.359346,10.000000,20.000000,570.499512,2.502127,504.023590,1.000000,2.000000,16.253208,87.826477,2.257713,1.000000,2.000000,3628.449951,0.393408,13.606171,1.000000,2.000000,2.351874,2.370885,0.666062,0.000000,1.000000,48.043598,0.116062
6.000000,1.717684,1.000000,2.000000,18.629732,0.299397,37.233147,37.000000,39.000000,220.019012,6.489848,14.341000,11.000000,24.000000,571.229370,2.499679,503.881836,1.000000,2.000000,16.257780,87.828094,2.230769,1.000000,3.000000,3672.275879,0.388830,13.629659,1.000000,14.000000,2.347821,2.375690,0.679619,0.000000,2.000000,47.085178,0.118460
7.000000,1.697669,0.000000,3.000000,18.849377,0.295762,37.223122,37.000000,43.000000,220.078262,6.484894,14.367031,10.000000,27.000000,570.194336,2.502979,504.146515,0.000000,3.000000,16.249245,87.830803,2.247146,0.000000,3.000000,3645.513672,0.391491,13.648668,0.000000,3.000000,2.344551,2.377828,0.667222,0.000000,1.000000,47.960072,0.116241
8.000000,1.694033,1.000000,7.000000,18.889835,0.295265,37.221531,34.000000,43.000000,220.087677,6.487595,14.305700,10.000000,38.000000,572.638855,2.493438,503.966370,1.000000,500.000000,16.255053,87.839745,2.241557,1.000000,7.000000,3654.603271,0.390696,13.635763,1.000000,14.000000,2.346770,2.376670,0.668936,0.000000,5.000000,47.837158,0.116593
9.000000,1.689700,0.000000,7.000000,18.938267,0.294667,37.202103,34.000000,69.000000,220.202606,6.487685,14.322186,9.000000,36.000000,571.979675,2.497650,504.406219,0.000000,7.000000,16.240879,87.963539,2.238130,0.000000,7.000000,3660.198730,0.390308,13.635111,0.000000,13.000000,2.346882,2.377831,0.672989,0.000000,5.000000,47.549049,0.117363
