Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -24.082401, 11.313710, 294, 100, 105, 0.087500, 0.952381, 62486.000000, 595.104736, 0.053772
1.000000, -23.082401, 10.083356, 210, 100, 112, 0.058594, 0.892857, 64711.000000, 577.776794, 0.055385
2.000000, -22.082401, 8.986799, 163, 100, 150, 0.033958, 0.666667, 86693.000000, 577.953308, 0.055368
3.000000, -21.082401, 8.009494, 148, 100, 194, 0.023840, 0.515464, 112136.000000, 578.020630, 0.055361
4.000000, -20.082401, 7.138470, 124, 100, 279, 0.013889, 0.358423, 161255.000000, 577.974915, 0.055366
5.000000, -19.082401, 6.362167, 107, 100, 587, 0.005696, 0.170358, 339069.000000, 577.630310, 0.055399
6.000000, -18.082401, 5.670288, 106, 100, 1373, 0.002413, 0.072833, 793087.000000, 577.630737, 0.055399
7.000000, -17.082401, 5.053649, 102, 100, 4600, 0.000693, 0.021739, 2657563.000000, 577.731079, 0.055389
8.000000, -16.082401, 4.504069, 100, 100, 15495, 0.000202, 0.006454, 8956830.000000, 578.046448, 0.055359
9.000000, -15.082401, 4.014256, 100, 100, 108174, 0.000029, 0.000924, 62586956.000000, 578.576721, 0.055308
