Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min,demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,18.144144,2.000000,1217.000000,1.763654,1.371804,75.639641,0.000000,3105.000000,108.303001,5.718801,26.288288,11.000000,753.000000,311.621674,1.987549,1188.198242,2.000000,1217.000000,6.894473,89.834763,6.504505,2.000000,1217.000000,1259.434814,0.491779,23.108109,2.000000,1217.000000,1.384795,1.747109,5.828829,0.000000,421.000000,5.489954,0.440694
1.000000,14.075000,2.000000,1187.000000,2.273535,0.994360,92.250000,30.000000,3722.000000,88.802170,6.517209,28.000000,3.000000,1123.000000,292.571442,1.978123,1187.849976,2.000000,1339.000000,6.896494,83.918335,22.233334,2.000000,1187.000000,368.455780,1.570724,59.400002,2.000000,1187.000000,0.538721,4.196446,22.008333,0.000000,1266.000000,1.453995,1.554828
2.000000,3.610063,2.000000,42.000000,8.864112,0.273093,77.591194,-2.000000,2862.000000,105.578995,5.869591,24.220125,12.000000,1190.000000,338.231110,1.832195,1204.037720,2.000000,42.000000,6.803773,91.082619,10.547170,2.000000,42.000000,776.701233,0.797868,15.257862,2.000000,42.000000,2.097279,1.154221,1.484277,0.000000,39.000000,21.559322,0.112282
3.000000,4.120879,0.000000,74.000000,7.765333,0.326304,53.379120,37.000000,1333.000000,153.468246,4.226725,24.780220,11.000000,1436.000000,330.586243,1.962175,1145.456055,0.000000,1002.000000,7.151737,90.700775,8.186813,0.000000,74.000000,1000.633545,0.648257,27.230770,0.000000,74.000000,1.175141,2.156217,7.269231,0.000000,1125.000000,4.402116,0.575600
4.000000,9.687117,0.000000,1075.000000,3.303357,0.724942,64.895706,0.000000,3568.000000,126.233315,4.856515,32.539879,2.000000,2913.000000,251.752625,2.435144,1181.383423,0.000000,1075.000000,6.934243,88.409653,11.496933,0.000000,1075.000000,712.537842,0.860381,18.809816,0.000000,1075.000000,1.701239,1.407646,8.211657,0.000000,1302.000000,3.896899,0.614525
5.000000,7.134991,2.000000,1256.000000,4.484939,0.567185,68.124336,15.000000,3973.000000,120.250710,5.415434,38.401421,0.000000,3821.000000,213.325439,3.052659,1120.015991,2.000000,1256.000000,7.314181,89.033867,6.893428,2.000000,1256.000000,1188.378296,0.547982,23.065720,2.000000,1256.000000,1.387340,1.833572,3.053286,0.000000,1098.000000,10.480512,0.242716
6.000000,13.449153,2.000000,4271.000000,2.379332,1.064908,57.667797,0.000000,4075.000000,142.055023,4.566153,33.001694,0.000000,3864.000000,248.229691,2.613084,1117.050903,2.000000,4271.000000,7.333596,88.448410,15.150000,2.000000,4271.000000,540.726074,1.199581,32.564407,2.000000,4271.000000,0.982668,2.578459,2.039830,0.000000,1064.000000,15.687578,0.161514
7.000000,10.409499,0.000000,3354.000000,3.074115,0.829870,62.823959,0.000000,4424.000000,130.396118,5.008472,30.931238,-1.000000,3843.000000,264.845520,2.465910,1111.012939,0.000000,3354.000000,7.373452,88.572540,10.245510,0.000000,3354.000000,799.569763,0.816796,28.937855,0.000000,3354.000000,1.105818,2.306993,4.958412,0.000000,2146.000000,6.453679,0.395296
8.000000,10.907544,-1368.000000,3804.000000,2.933749,0.865616,63.941074,0.000000,5305.000000,128.117966,5.074323,27.945883,0.000000,4051.000000,293.138000,2.217768,1120.521240,-1368.000000,3804.000000,7.310883,88.923859,11.835799,-1368.000000,3804.000000,692.137451,0.939282,27.174494,-1368.000000,3804.000000,1.177575,2.156551,4.857495,0.000000,3383.000000,6.587758,0.385488
9.000000,10.869817,0.000000,4314.000000,2.943932,0.865214,62.812824,-1.000000,5140.000000,130.419220,4.999766,28.462011,0.000000,4956.000000,287.822235,2.265515,1118.478760,0.000000,4314.000000,7.324234,89.028503,10.726836,0.000000,4314.000000,763.692078,0.853833,27.424051,0.000000,4314.000000,1.166859,2.182895,4.720658,0.000000,4129.000000,6.778716,0.375754
