Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -6.020600, 1.414214, 1097, 100, 100, 0.342813, 1.000000, 2334, 23.340000, 1.371037
1.000000, -5.020600, 1.260419, 2088, 100, 100, 0.652500, 1.000000, 2280, 22.799999, 1.403509
2.000000, -4.020600, 1.123350, 2092, 100, 100, 0.653750, 1.000000, 2121, 21.209999, 1.508722
3.000000, -3.020600, 1.001187, 2086, 100, 100, 0.651875, 1.000000, 2060, 20.600000, 1.553398
4.000000, -2.020600, 0.892308, 2091, 100, 100, 0.653437, 1.000000, 1983, 19.830000, 1.613717
5.000000, -1.020600, 0.795271, 2093, 100, 100, 0.654063, 1.000000, 1988, 19.879999, 1.609658
6.000000, -0.020600, 0.708786, 2082, 100, 100, 0.650625, 1.000000, 1981, 19.809999, 1.615346
7.000000, 0.979400, 0.631706, 2087, 100, 100, 0.652188, 1.000000, 1948, 19.480000, 1.642710
8.000000, 1.979400, 0.563009, 2079, 100, 100, 0.649688, 1.000000, 1863, 18.629999, 1.717660
9.000000, 2.979400, 0.501782, 2079, 100, 100, 0.649688, 1.000000, 1877, 18.770000, 1.704848
