Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min,demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,0.980000,0.000000,6.000000,32.653061,430.958649,0.770000,0.000000,3.000000,166.233765,338.610382,0.960000,0.000000,1.000000,133.333344,422.163574,10.810000,0.000000,10.000000,11.840888,4753.737793,0.850000,0.000000,6.000000,150.588226,373.790680,1.350000,0.000000,6.000000,23.703703,593.667542,1.040000,1.000000,3.000000,30.769232,457.343872
1.000000,0.990000,0.000000,7.000000,32.323231,444.743927,0.850000,0.000000,1.000000,150.588226,381.850861,0.890000,0.000000,1.000000,143.820221,399.820312,10.270000,0.000000,11.000000,12.463486,4613.656738,0.890000,0.000000,7.000000,143.820221,399.820312,1.280000,0.000000,7.000000,25.000000,575.022461,1.200000,1.000000,2.000000,26.666666,539.083618
2.000000,0.890000,0.000000,1.000000,35.955055,419.218079,0.790000,0.000000,1.000000,162.025314,372.114929,0.870000,0.000000,1.000000,147.126434,409.797455,9.970000,0.000000,1.000000,12.838515,4696.184570,0.780000,0.000000,1.000000,164.102570,367.404602,1.240000,0.000000,1.000000,25.806452,584.079102,1.210000,1.000000,2.000000,26.446280,569.948181
3.000000,0.880000,0.000000,1.000000,36.363636,424.505554,0.740000,0.000000,1.000000,172.972977,356.970581,0.870000,0.000000,1.000000,147.126434,419.681641,9.680000,0.000000,1.000000,13.223140,4669.561035,0.770000,0.000000,1.000000,166.233765,371.442383,1.230000,0.000000,2.000000,26.016260,593.343018,1.100000,1.000000,2.000000,29.090908,530.631958
4.000000,0.840000,0.000000,1.000000,38.095238,408.958130,0.630000,0.000000,1.000000,203.174606,306.718597,0.870000,0.000000,1.000000,147.126434,423.563782,9.620000,0.000000,10.000000,13.305614,4683.544434,0.700000,0.000000,1.000000,182.857147,340.798431,1.140000,0.000000,1.000000,28.070175,555.014587,1.060000,1.000000,2.000000,30.188681,516.066162
5.000000,0.900000,0.000000,1.000000,35.555557,457.317047,0.700000,0.000000,1.000000,182.857147,355.691040,0.800000,0.000000,1.000000,160.000000,406.504059,9.180000,0.000000,9.000000,13.943355,4664.633789,0.740000,0.000000,1.000000,172.972977,376.016235,1.120000,0.000000,1.000000,28.571428,569.105652,1.080000,1.000000,2.000000,29.629629,548.780518
6.000000,0.770000,0.000000,1.000000,41.558441,397.932831,0.680000,0.000000,1.000000,188.235291,351.421204,0.780000,0.000000,1.000000,164.102570,403.100769,9.130000,0.000000,1.000000,14.019715,4718.346191,0.760000,0.000000,1.000000,168.421051,392.764862,1.160000,0.000000,1.000000,27.586208,599.483215,1.060000,0.000000,2.000000,30.188681,547.803589
7.000000,0.850000,0.000000,1.000000,37.647057,457.235077,0.660000,0.000000,1.000000,193.939392,355.029572,0.720000,0.000000,1.000000,177.777771,387.304993,8.750000,0.000000,9.000000,14.628572,4706.831543,0.730000,0.000000,1.000000,175.342468,392.684235,1.100000,0.000000,1.000000,29.090908,591.715942,1.000000,0.000000,2.000000,32.000000,537.923584
8.000000,0.740000,0.000000,1.000000,43.243244,407.488983,0.680000,0.000000,1.000000,188.235291,374.449341,0.790000,0.000000,1.000000,162.025314,435.022003,8.470000,0.000000,1.000000,15.112160,4664.096680,0.690000,0.000000,1.000000,185.507248,379.955933,1.100000,0.000000,1.000000,29.090908,605.726868,0.990000,0.000000,2.000000,32.323231,545.154175
9.000000,0.770000,0.000000,1.000000,41.558441,421.225372,0.630000,0.000000,1.000000,203.174606,344.638916,0.710000,0.000000,1.000000,180.281693,388.402618,8.650000,0.000000,10.000000,14.797688,4731.946777,0.730000,0.000000,1.000000,175.342468,399.343536,1.110000,0.000000,1.000000,28.828829,607.220947,0.990000,0.000000,1.000000,32.323231,541.575439
10.000000,0.810000,0.000000,1.000000,39.506172,444.078949,0.720000,0.000000,1.000000,177.777771,394.736847,0.730000,0.000000,1.000000,175.342468,400.219299,8.530000,0.000000,1.000000,15.005862,4676.535156,0.650000,0.000000,1.000000,196.923080,356.359650,1.130000,0.000000,1.000000,28.318584,619.517517,0.970000,0.000000,1.000000,32.989689,531.798218
