Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -24.082401, 11.313710, 1654, 100, 100, 0.516875, 1.000000, 74433.000000, 744.330017, 0.042992
1.000000, -23.082401, 10.083356, 1617, 100, 100, 0.505313, 1.000000, 72587.000000, 725.869995, 0.044085
2.000000, -22.082401, 8.986799, 1568, 100, 100, 0.490000, 1.000000, 73026.000000, 730.260010, 0.043820
3.000000, -21.082401, 8.009494, 1621, 100, 100, 0.506562, 1.000000, 73020.000000, 730.200012, 0.043824
4.000000, -20.082401, 7.138470, 1587, 100, 100, 0.495937, 1.000000, 73070.000000, 730.700012, 0.043794
5.000000, -19.082401, 6.362167, 1668, 100, 100, 0.521250, 1.000000, 72361.000000, 723.609985, 0.044223
6.000000, -18.082401, 5.670288, 1563, 100, 100, 0.488438, 1.000000, 68827.000000, 688.270020, 0.046493
7.000000, -17.082401, 5.053649, 1603, 100, 100, 0.500938, 1.000000, 68859.000000, 688.590027, 0.046472
8.000000, -16.082401, 4.504069, 1634, 100, 100, 0.510625, 1.000000, 68840.000000, 688.400024, 0.046485
9.000000, -15.082401, 4.014256, 1619, 100, 100, 0.505938, 1.000000, 68838.000000, 688.380005, 0.046486
10.000000, -14.082401, 3.577709, 1602, 100, 100, 0.500625, 1.000000, 68889.000000, 688.890015, 0.046452
11.000000, -13.082401, 3.188637, 1667, 100, 100, 0.520938, 1.000000, 68836.000000, 688.359985, 0.046487
