Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -24.082401, 11.313710, 305, 100, 106, 0.089917, 0.943396, 80864.000000, 762.867920, 0.041947
1.000000, -23.082401, 10.083356, 229, 100, 117, 0.061165, 0.854701, 87196.000000, 745.264954, 0.042938
2.000000, -22.082401, 8.986799, 166, 100, 125, 0.041500, 0.800000, 92536.000000, 740.288025, 0.043226
3.000000, -21.082401, 8.009494, 142, 100, 180, 0.024653, 0.555556, 132378.000000, 735.433350, 0.043512
4.000000, -20.082401, 7.138470, 123, 100, 294, 0.013074, 0.340136, 215201.000000, 731.976196, 0.043717
5.000000, -19.082401, 6.362167, 112, 100, 617, 0.005673, 0.162075, 449218.000000, 728.068054, 0.043952
6.000000, -18.082401, 5.670288, 106, 100, 1239, 0.002674, 0.080710, 897011.000000, 723.979797, 0.044200
7.000000, -17.082401, 5.053649, 103, 100, 4069, 0.000791, 0.024576, 2931541.000000, 720.457336, 0.044416
8.000000, -16.082401, 4.504069, 100, 100, 13533, 0.000231, 0.007389, 9688814.000000, 715.939880, 0.044696
9.000000, -15.082401, 4.014256, 100, 100, 100168, 0.000031, 0.000998, 71308920.000000, 711.893250, 0.044951
10.000000, -14.082401, 3.577709, 100, 100, 864513, 0.000004, 0.000116, 611463616.000000, 707.292542, 0.045243
11.000000, -13.082401, 3.188637, 100, 100, 9861473, 0.000000, 0.000010, 6932162048.000000, 702.954041, 0.045522
