Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min_demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,0.650943,0.000000,2.000000,49.159420,0.095642,38.179245,37.000000,45.000000,214.566849,5.609614,2.405660,2.000000,20.000000,3405.302002,0.353460,516.726440,0.000000,509.000000,15.853650,75.921776,2.613208,0.000000,2.000000,3134.844727,0.383954,119.311317,0.000000,2.000000,0.268206,17.530218,0.716981,0.000000,1.000000,44.631580,0.105345
1.000000,0.512821,0.000000,1.000000,62.399998,0.077743,37.367523,37.000000,39.000000,219.227798,5.664900,2.153846,2.000000,3.000000,3803.428467,0.326522,506.606842,0.000000,1.000000,16.170330,76.801376,2.410256,0.000000,3.000000,3398.808594,0.365394,109.846153,0.000000,1.000000,0.291317,16.652628,0.735043,0.000000,1.000000,43.534882,0.111432
2.000000,0.640000,0.000000,1.000000,50.000000,0.097889,37.383999,37.000000,38.000000,219.131180,5.717957,2.192000,2.000000,3.000000,3737.226318,0.335271,506.687988,0.000000,1.000000,16.167740,77.498924,2.448000,0.000000,2.000000,3346.405273,0.374426,103.823997,0.000000,1.000000,0.308214,15.880085,0.624000,0.000000,1.000000,51.282051,0.095442
3.000000,0.594444,0.000000,2.000000,53.831776,0.091842,37.361111,37.000000,39.000000,219.265427,5.772334,2.205555,2.000000,3.000000,3714.257080,0.340761,507.350006,0.000000,509.000000,16.146645,78.386147,2.361111,0.000000,2.000000,3469.552979,0.364794,96.650002,0.000000,2.000000,0.331092,14.932534,0.722222,0.000000,3.000000,44.307693,0.111584
4.000000,0.622449,0.000000,1.000000,51.409836,0.096941,37.377552,37.000000,39.000000,219.168976,5.821216,2.227891,2.000000,4.000000,3677.019775,0.346974,507.642853,0.000000,505.000000,16.137329,79.060783,2.435374,0.000000,2.000000,3363.754150,0.379288,91.081635,0.000000,91.000000,0.351333,14.185141,0.704082,0.000000,1.000000,45.449272,0.109654
5.000000,0.630470,0.000000,2.000000,50.755783,0.098942,37.359806,37.000000,39.000000,219.273087,5.863023,2.228525,2.000000,3.000000,3675.973633,0.349731,507.316040,0.000000,502.000000,16.147726,79.615120,2.411669,0.000000,2.000000,3396.817383,0.378473,86.567261,0.000000,2.000000,0.369655,13.585344,0.696921,0.000000,1.000000,45.916279,0.109371
6.000000,0.621469,0.000000,2.000000,51.490910,0.098173,37.353512,37.000000,39.000000,219.310028,5.900697,2.197740,2.000000,3.000000,3727.465332,0.347175,507.156586,0.000000,508.000000,16.152802,80.115028,2.392252,0.000000,2.000000,3424.388672,0.377902,82.635193,0.000000,84.000000,0.387244,13.053801,0.678773,0.000000,1.000000,47.143875,0.107225
7.000000,0.631113,0.000000,2.000000,50.704052,0.100274,37.358566,37.000000,42.000000,219.280365,5.935665,2.202998,2.000000,3.000000,3718.568604,0.350020,507.414093,0.000000,2.000000,16.144606,80.619789,2.401819,0.000000,3.000000,3410.749023,0.381610,78.704353,0.000000,78.000000,0.406585,12.504833,0.678545,0.000000,2.000000,47.159725,0.107810
8.000000,0.636888,0.000000,2.000000,50.244343,0.101768,37.349148,37.000000,41.000000,219.335663,5.968026,2.211409,2.000000,4.000000,3704.425293,0.353361,507.171570,0.000000,509.000000,16.152325,81.041023,2.392153,0.000000,2.000000,3424.530762,0.382242,75.383286,0.000000,76.000000,0.424497,12.045506,0.676347,0.000000,2.000000,47.313011,0.108074
9.000000,0.635482,0.000000,2.000000,50.355450,0.102019,37.359737,36.000000,120.000000,219.273483,5.997653,2.215079,0.000000,45.000000,3698.288574,0.355604,507.999603,0.000000,508.000000,16.125998,81.553177,2.400527,0.000000,3.000000,3412.583984,0.385376,72.440018,0.000000,2.000000,0.441745,11.629367,0.677262,0.000000,3.000000,47.249058,0.108726
10.000000,0.633899,0.000000,14.000000,50.481220,0.103797,37.185570,35.000000,56.000000,220.300507,6.088892,2.212317,0.000000,13.000000,3702.904785,0.362252,510.238556,0.000000,508.000000,16.055235,83.548210,2.390694,0.000000,14.000000,3426.620117,0.391460,70.067192,0.000000,14.000000,0.456704,11.473042,0.677128,0.000000,18.000000,47.258415,0.110875
11.000000,0.633653,0.000000,13.000000,50.500828,0.114505,34.287079,33.000000,97.000000,238.923828,6.195871,2.217098,0.000000,29.000000,3694.920410,0.400642,511.847260,0.000000,510.000000,16.004774,92.493729,2.411694,0.000000,13.000000,3396.782227,0.435807,64.797836,0.000000,68.000000,0.493844,11.709339,0.677821,0.000000,12.000000,47.210079,0.122486
