Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min,demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,0.816514,0.000000,3.000000,39.191010,631.164551,0.651376,0.000000,1.000000,98.253525,503.513306,0.733945,0.000000,1.000000,87.199997,567.338928,4.724771,0.000000,3.000000,13.545631,3652.244385,0.669725,0.000000,3.000000,95.561646,517.696777,1.027523,0.000000,3.000000,31.142859,794.274475,0.798165,0.000000,1.000000,40.091953,616.981079
1.000000,0.834711,0.000000,2.000000,38.336636,733.113342,0.545455,0.000000,1.000000,117.333328,479.064209,0.727273,0.000000,1.000000,88.000000,638.752258,4.644628,0.000000,2.000000,13.779360,4079.303955,0.628099,0.000000,2.000000,101.894730,551.649719,1.008264,0.000000,2.000000,31.737707,885.542847,0.694215,0.000000,1.000000,46.095238,609.718018
2.000000,0.786207,0.000000,1.000000,40.701756,840.793457,0.675862,0.000000,1.000000,94.693878,722.787354,0.600000,0.000000,1.000000,106.666664,641.658203,4.593103,0.000000,5.000000,13.933934,4912.003906,0.558621,0.000000,1.000000,114.567902,597.405884,1.020690,0.000000,1.000000,31.351353,1091.556396,0.620690,0.000000,1.000000,51.555557,663.784302
3.000000,0.777778,0.000000,1.000000,41.142857,1136.912720,0.585859,0.000000,1.000000,109.241379,856.375793,0.717172,0.000000,1.000000,89.239433,1048.322144,4.590909,0.000000,5.000000,13.940595,6710.738281,0.681818,0.000000,1.000000,93.866669,996.644226,0.989899,0.000000,1.000000,32.326530,1446.979858,0.686869,0.000000,1.000000,46.588238,1004.026794
4.000000,0.778502,0.000000,1.000000,41.104603,1764.198120,0.596091,0.000000,1.000000,107.366119,1350.829468,0.697068,0.000000,1.000000,91.813087,1579.658447,4.579804,0.000000,1.000000,13.974396,10378.502930,0.628664,0.000000,1.000000,101.803108,1424.645264,1.003257,0.000000,1.000000,31.896105,2273.527100,0.638436,0.000000,1.000000,50.122448,1446.790039
5.000000,0.757009,0.000000,1.000000,42.271606,3583.461670,0.644860,0.000000,1.000000,99.246384,3052.578369,0.702492,0.000000,1.000000,91.104210,3325.393555,4.585670,0.000000,1.000000,13.956521,21707.224609,0.637072,0.000000,1.000000,100.459656,3015.711670,1.000000,0.000000,1.000000,32.000000,4733.708496,0.647975,0.000000,1.000000,49.384613,3067.325195
6.000000,0.786576,0.000000,3.000000,40.682648,7589.825195,0.662142,0.000000,2.000000,96.656036,6389.133789,0.690045,0.000000,1.000000,92.747543,6658.379883,4.613876,0.000000,3.000000,13.871200,44520.183594,0.637255,0.000000,3.000000,100.430771,6148.995605,1.012820,0.000000,3.000000,31.594938,9772.900391,0.625189,0.000000,1.000000,51.184559,6032.564453
7.000000,0.775506,0.000000,2.000000,41.263393,25944.820312,0.656298,0.000000,2.000000,97.516739,21956.666016,0.705243,0.000000,1.000000,90.748917,23594.138672,4.604960,0.000000,4.000000,13.898058,154060.562500,0.658690,0.000000,2.000000,97.162483,22036.724609,1.017620,0.000000,2.000000,31.445917,34044.847656,0.646074,0.000000,3.000000,49.529968,21614.619141
8.000000,0.770397,0.000000,2.000000,41.537025,100010.437500,0.645236,0.000000,2.000000,99.188583,83762.375000,0.719075,0.000000,2.000000,89.003281,93347.929688,4.602561,0.000000,6.000000,13.905303,597489.437500,0.662474,0.000000,2.000000,96.607559,86000.226562,1.016677,0.000000,2.000000,31.475094,131981.687500,0.655118,0.000000,2.000000,48.846146,85045.320312
9.000000,0.769808,0.000000,3.000000,41.568783,480403.937500,0.656073,0.000000,2.000000,97.550072,409426.750000,0.715440,0.000000,2.000000,89.455399,446475.156250,4.604099,0.000000,3.000000,13.900656,2873217.500000,0.656330,0.000000,3.000000,97.511879,409587.125000,1.017951,0.000000,3.000000,31.435686,635259.062500,0.649696,0.000000,3.000000,49.253777,405447.187500
10.000000,0.773245,0.000000,6.000000,41.384052,5208137.500000,0.655633,0.000000,3.000000,97.615601,4415971.500000,0.716950,0.000000,6.000000,89.267036,4828968.500000,4.616137,0.000000,6.000000,13.864407,31091680.000000,0.658916,0.000000,6.000000,97.129219,4438085.000000,1.019959,0.000000,6.000000,31.373812,6869865.000000,0.650840,0.000000,3.000000,49.167206,4383691.500000
11.000000,0.764795,0.000000,8.000000,41.841274,63532584.000000,0.643766,0.000000,7.000000,99.414970,53478552.000000,0.704972,0.000000,7.000000,90.783798,58562968.000000,4.422624,0.000000,8.000000,14.471048,367393440.000000,0.647023,0.000000,8.000000,98.914581,53749088.000000,1.008760,0.000000,8.000000,31.722118,83799072.000000,0.638439,0.000000,8.000000,50.122288,53035972.000000
