Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -4.771213, 1.224745, 200, 100, 108, 0.057870, 0.925926, 2400, 22.222221, 1.440000
1.000000, -3.771212, 1.091555, 159, 100, 114, 0.043586, 0.877193, 2031, 17.815790, 1.796160
2.000000, -2.771212, 0.972849, 149, 100, 149, 0.031250, 0.671141, 2613, 17.536913, 1.824723
3.000000, -1.771212, 0.867053, 126, 100, 206, 0.019114, 0.485437, 3904, 18.951456, 1.688525
4.000000, -0.771212, 0.772762, 107, 100, 295, 0.011335, 0.338983, 5000, 16.949152, 1.888000
5.000000, 0.228788, 0.688725, 108, 100, 638, 0.005290, 0.156740, 10080, 15.799373, 2.025397
6.000000, 1.228788, 0.613826, 104, 100, 1507, 0.002157, 0.066357, 23718, 15.738553, 2.033224
7.000000, 2.228788, 0.547073, 100, 100, 4300, 0.000727, 0.023256, 67764, 15.759069, 2.030577
8.000000, 3.228788, 0.487580, 100, 100, 18055, 0.000173, 0.005539, 284565, 15.761008, 2.030327
9.000000, 4.228787, 0.434556, 100, 100, 115084, 0.000027, 0.000869, 1811375, 15.739591, 2.033090
10.000000, 5.228787, 0.387298, 100, 100, 844577, 0.000004, 0.000118, 13185184, 15.611583, 2.049760
11.000000, 6.228787, 0.345180, 100, 100, 11819707, 0.000000, 0.000008, 185003409, 15.652115, 2.044452
