Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -24.082401, 11.313710, 1631, 100, 100, 0.509687, 1.000000, 91559.000000, 915.590027, 0.034950
1.000000, -23.082401, 10.083356, 1632, 100, 100, 0.510000, 1.000000, 90255.000000, 902.549988, 0.035455
2.000000, -22.082401, 8.986799, 1635, 100, 100, 0.510938, 1.000000, 89428.000000, 894.280029, 0.035783
3.000000, -21.082401, 8.009494, 1593, 100, 100, 0.497813, 1.000000, 89088.000000, 890.880005, 0.035920
4.000000, -20.082401, 7.138470, 1584, 100, 100, 0.495000, 1.000000, 87562.000000, 875.619995, 0.036546
5.000000, -19.082401, 6.362167, 1620, 100, 100, 0.506250, 1.000000, 87224.000000, 872.239990, 0.036687
6.000000, -18.082401, 5.670288, 1551, 100, 100, 0.484688, 1.000000, 86084.000000, 860.840027, 0.037173
7.000000, -17.082401, 5.053649, 1612, 100, 100, 0.503750, 1.000000, 89494.000000, 894.940002, 0.035757
8.000000, -16.082401, 4.504069, 1618, 100, 100, 0.505625, 1.000000, 88067.000000, 880.669983, 0.036336
9.000000, -15.082401, 4.014256, 1629, 100, 100, 0.509063, 1.000000, 84674.000000, 846.739990, 0.037792
10.000000, -14.082401, 3.577709, 1613, 100, 100, 0.504062, 1.000000, 82096.000000, 820.960022, 0.038979
11.000000, -13.082401, 3.188637, 1659, 100, 100, 0.518438, 1.000000, 81061.000000, 810.609985, 0.039476
