Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min_demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,1.850000,1.000000,4.000000,17.297297,0.203326,38.509998,37.000000,58.000000,212.723984,4.232472,38.250000,1.000000,37.000000,214.169937,4.203897,551.250000,1.000000,542.000000,14.860771,60.585579,2.850000,1.000000,4.000000,2874.385986,0.313232,276.019989,1.000000,272.000000,0.115934,30.336201,1.140000,1.000000,4.000000,28.070175,0.125293
1.000000,1.870000,0.000000,11.000000,17.112299,0.208473,37.709999,35.000000,45.000000,217.236816,4.204013,37.410000,0.000000,37.000000,218.978882,4.170568,545.169983,0.000000,543.000000,15.026506,60.777035,2.470000,0.000000,11.000000,3316.599121,0.275362,271.290009,0.000000,269.000000,0.117955,30.244146,1.080000,0.000000,11.000000,29.629629,0.120401
2.000000,1.680000,1.000000,2.000000,19.047619,0.188915,37.650002,37.000000,39.000000,217.582993,4.233715,37.439999,1.000000,37.000000,218.803421,4.210100,544.679993,1.000000,543.000000,15.040024,61.248863,2.470000,1.000000,2.000000,3316.599121,0.277750,264.279999,1.000000,265.000000,0.121084,29.718090,1.090000,1.000000,2.000000,29.357798,0.122570
3.000000,1.770000,1.000000,2.000000,18.079096,0.199779,37.529999,37.000000,39.000000,218.278717,4.235987,37.290001,1.000000,37.000000,219.683563,4.208899,544.039978,1.000000,544.000000,15.057717,61.405445,2.380000,1.000000,2.000000,3442.016602,0.268629,261.760010,1.000000,256.000000,0.122249,29.544685,1.210000,1.000000,2.000000,26.446280,0.136572
4.000000,1.700000,1.000000,2.000000,18.823528,0.195279,37.680000,37.000000,40.000000,217.409760,4.328298,37.509998,1.000000,37.000000,218.395111,4.308770,544.460022,1.000000,543.000000,15.046100,62.542076,2.340000,1.000000,2.000000,3500.854736,0.268796,245.729996,1.000000,247.000000,0.130224,28.226984,1.130000,1.000000,2.000000,28.318584,0.129803
5.000000,1.690000,1.000000,4.000000,18.934910,0.194862,37.660000,37.000000,44.000000,217.525223,4.342311,37.389999,1.000000,38.000000,219.096024,4.311180,544.770020,1.000000,549.000000,15.037539,62.813622,2.490000,1.000000,4.000000,3289.959717,0.287104,242.119995,1.000000,242.000000,0.132166,27.917166,1.160000,1.000000,4.000000,27.586208,0.133751
6.000000,1.710000,1.000000,2.000000,18.713449,0.199806,37.680000,37.000000,39.000000,217.409760,4.402743,37.380001,1.000000,38.000000,219.154617,4.367690,544.359985,1.000000,546.000000,15.048865,63.606091,2.430000,1.000000,3.000000,3371.193359,0.283935,231.179993,1.000000,232.000000,0.138420,27.012373,1.090000,1.000000,2.000000,29.357798,0.127362
7.000000,3.030000,2.000000,5.000000,10.561056,0.342002,41.340000,37.000000,60.000000,198.161591,4.666125,38.779999,2.000000,37.000000,211.242920,4.377172,562.210022,2.000000,555.000000,14.571067,63.457722,4.460000,2.000000,5.000000,1836.771240,0.503409,234.449997,2.000000,238.000000,0.136490,26.462820,1.690000,2.000000,5.000000,18.934910,0.190754
8.000000,3.160000,1.000000,9.000000,10.126582,0.362489,40.860001,37.000000,52.000000,200.489471,4.687124,38.950001,1.000000,38.000000,210.320923,4.468024,558.929993,1.000000,548.000000,14.656576,64.115860,4.500000,1.000000,9.000000,1820.444458,0.516203,223.779999,1.000000,209.000000,0.142998,25.670204,1.570000,1.000000,9.000000,20.382164,0.180098
9.000000,2.450000,1.000000,13.000000,13.061224,0.291615,38.790001,37.000000,46.000000,211.188446,4.617033,37.790001,1.000000,38.000000,216.776917,4.498006,550.890015,1.000000,550.000000,14.870481,65.570435,3.300000,1.000000,13.000000,2482.424316,0.392787,205.660004,1.000000,198.000000,0.155597,24.478962,1.270000,1.000000,13.000000,25.196850,0.151163
10.000000,1.670000,1.000000,2.000000,19.161676,0.204725,37.750000,37.000000,39.000000,217.006622,4.627757,37.410000,1.000000,37.000000,218.978882,4.586076,545.880005,1.000000,547.000000,15.006961,66.919205,2.410000,1.000000,2.000000,3399.169922,0.295441,189.520004,1.000000,190.000000,0.168848,23.233179,1.090000,1.000000,2.000000,29.357798,0.133623
11.000000,1.750000,1.000000,2.000000,18.285715,0.217151,37.590000,37.000000,39.000000,217.930298,4.664408,37.439999,1.000000,37.000000,218.803421,4.645795,545.320007,1.000000,547.000000,15.022372,67.666801,2.480000,1.000000,2.000000,3303.225830,0.307734,180.169998,1.000000,181.000000,0.177610,22.356649,1.140000,1.000000,2.000000,28.070175,0.141459
