Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -24.082401, 11.313710, 278, 100, 107, 0.081192, 0.934579, 83551.000000, 780.850464, 0.040981
1.000000, -23.082401, 10.083356, 206, 100, 125, 0.051500, 0.800000, 96554.000000, 772.432007, 0.041428
2.000000, -22.082401, 8.986799, 161, 100, 148, 0.033995, 0.675676, 114891.000000, 776.290527, 0.041222
3.000000, -21.082401, 8.009494, 136, 100, 186, 0.022849, 0.537634, 144030.000000, 774.354858, 0.041325
4.000000, -20.082401, 7.138470, 123, 100, 284, 0.013534, 0.352113, 220184.000000, 775.295776, 0.041275
5.000000, -19.082401, 6.362167, 111, 100, 564, 0.006150, 0.177305, 437376.000000, 775.489380, 0.041264
6.000000, -18.082401, 5.670288, 106, 100, 1201, 0.002758, 0.083264, 923907.000000, 769.281433, 0.041597
7.000000, -17.082401, 5.053649, 102, 100, 3889, 0.000820, 0.025714, 2982734.000000, 766.966858, 0.041723
8.000000, -16.082401, 4.504069, 100, 100, 15326, 0.000204, 0.006525, 11769447.000000, 767.939880, 0.041670
9.000000, -15.082401, 4.014256, 100, 100, 99092, 0.000032, 0.001009, 76034208.000000, 767.309265, 0.041704
