Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min_demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,2.084112,1.000000,5.000000,15.354259,0.268934,38.271027,37.000000,56.000000,214.052261,4.938495,120.392525,1.000000,122.000000,68.044090,15.535457,550.906555,1.000000,553.000000,14.870035,71.089005,2.831776,1.000000,5.000000,2892.884521,0.365412,59.485981,1.000000,56.000000,0.537942,7.676074,0.981308,1.000000,5.000000,32.609524,0.126628
1.000000,1.856000,1.000000,4.000000,17.241381,0.241800,37.680000,37.000000,41.000000,217.409760,4.908960,116.711998,1.000000,121.000000,70.189873,15.205270,550.255981,1.000000,553.000000,14.887616,71.687492,2.536000,1.000000,4.000000,3230.283936,0.330391,57.608002,1.000000,59.000000,0.555478,7.505186,0.928000,1.000000,4.000000,34.482761,0.120900
2.000000,1.898649,1.000000,4.000000,16.854094,0.246178,37.729729,37.000000,45.000000,217.123215,4.892023,121.000000,1.000000,112.000000,67.702477,15.688817,549.878357,1.000000,549.000000,14.897840,71.297035,2.554054,1.000000,4.000000,3207.449707,0.331158,57.344593,1.000000,57.000000,0.558030,7.435280,0.844595,0.000000,4.000000,37.888000,0.109510
3.000000,1.887097,1.000000,8.000000,16.957266,0.245216,37.811829,37.000000,43.000000,216.651779,4.913406,119.107529,1.000000,143.000000,68.778191,15.477263,550.322571,1.000000,549.000000,14.885815,71.510910,2.516129,1.000000,8.000000,3255.794922,0.326955,57.032257,1.000000,56.000000,0.561086,7.410978,0.887097,1.000000,8.000000,36.072727,0.115273
4.000000,1.845070,1.000000,4.000000,17.343512,0.239502,37.598591,37.000000,46.000000,217.880508,4.880546,120.552818,1.000000,120.000000,67.953613,15.648554,550.056335,1.000000,550.000000,14.893020,71.400948,2.503521,1.000000,4.000000,3272.191162,0.324974,56.943661,1.000000,56.000000,0.561959,7.391664,0.876761,1.000000,4.000000,36.497993,0.113809
5.000000,1.996454,1.000000,15.000000,16.028419,0.259170,38.070923,37.000000,54.000000,215.177338,4.942182,119.078011,1.000000,126.000000,68.795235,15.458127,550.336853,1.000000,549.000000,14.885428,71.442047,2.535461,1.000000,15.000000,3230.970703,0.329141,57.468086,1.000000,57.000000,0.556831,7.460227,0.840426,0.000000,15.000000,38.075947,0.109100
6.000000,1.800166,1.000000,2.000000,17.776134,0.235464,37.535389,36.000000,39.000000,218.247375,4.909676,118.425476,1.000000,112.000000,69.174309,15.490200,547.607849,1.000000,546.000000,14.959610,71.627785,2.405495,1.000000,2.000000,3405.535400,0.314642,55.930058,1.000000,55.000000,0.572143,7.315721,0.814321,1.000000,2.000000,39.296524,0.106514
7.000000,1.786835,1.000000,4.000000,17.908764,0.234422,37.429161,36.000000,39.000000,218.866776,4.910485,117.795837,1.000000,118.000000,69.544052,15.454120,546.528442,1.000000,545.000000,14.989156,71.701309,2.384932,1.000000,4.000000,3434.899170,0.312889,55.489071,1.000000,56.000000,0.576690,7.279839,0.815120,1.000000,4.000000,39.258045,0.106939
8.000000,1.793031,1.000000,3.000000,17.846870,0.234931,37.461048,36.000000,40.000000,218.680481,4.908305,118.513634,1.000000,155.000000,69.122849,15.528158,546.684570,1.000000,543.000000,14.984875,71.628929,2.386859,1.000000,3.000000,3432.125732,0.312736,55.572033,1.000000,56.000000,0.575829,7.281283,0.806407,0.000000,3.000000,39.682175,0.105659
9.000000,1.798087,1.000000,9.000000,17.796696,0.236008,37.460491,36.000000,40.000000,218.683731,4.916880,118.319550,1.000000,122.000000,69.236237,15.530043,546.673096,1.000000,550.000000,14.985189,71.753624,2.396399,1.000000,9.000000,3418.462158,0.314540,55.162323,1.000000,56.000000,0.580106,7.240335,0.802103,1.000000,9.000000,39.895119,0.105280
