Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min_demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,0.726415,0.000000,2.000000,44.051949,0.126695,38.028301,37.000000,44.000000,215.418503,6.632552,2.509434,2.000000,26.000000,3264.481201,0.437673,515.566040,0.000000,509.000000,15.889332,89.920364,2.622642,0.000000,2.000000,3123.568359,0.457417,13.160378,0.000000,2.000000,2.431541,2.295314,0.745283,0.000000,1.000000,42.936710,0.129986
1.000000,0.629310,0.000000,1.000000,50.849312,0.111623,37.284481,37.000000,38.000000,219.716080,6.613250,2.206897,2.000000,3.000000,3712.000000,0.391443,507.732758,0.000000,511.000000,16.134472,90.057953,2.362069,0.000000,2.000000,3468.145996,0.418967,12.758620,0.000000,1.000000,2.508108,2.263031,0.810345,0.000000,1.000000,39.489361,0.143733
2.000000,0.630435,0.000000,2.000000,50.758617,0.111827,37.347828,37.000000,39.000000,219.343414,6.624764,2.202899,2.000000,4.000000,3718.736816,0.390751,507.869568,0.000000,507.000000,16.130125,90.085991,2.355072,0.000000,2.000000,3478.449219,0.417743,12.615942,0.000000,2.000000,2.536473,2.237818,0.739130,0.000000,1.000000,43.294117,0.131107
3.000000,0.644809,0.000000,2.000000,49.627117,0.114308,37.404373,37.000000,39.000000,219.011826,6.630824,2.191257,2.000000,3.000000,3738.493896,0.388453,508.153015,0.000000,2.000000,16.121128,90.082336,2.387978,0.000000,2.000000,3430.517334,0.423327,12.628415,0.000000,2.000000,2.533968,2.238690,0.688525,0.000000,1.000000,46.476189,0.122058
4.000000,0.661290,0.000000,1.000000,48.390244,0.117184,37.377419,37.000000,38.000000,219.169769,6.623490,2.232258,2.000000,3.000000,3669.826660,0.395569,508.380646,0.000000,1.000000,16.113911,90.087921,2.409678,0.000000,1.000000,3399.625000,0.427008,12.612904,0.000000,1.000000,2.537084,2.235078,0.641935,0.000000,1.000000,49.849247,0.113755
5.000000,0.670927,0.000000,3.000000,47.695240,0.118870,37.376995,37.000000,39.000000,219.172241,6.622213,2.241214,2.000000,3.000000,3655.161865,0.397084,508.381775,0.000000,3.000000,16.113874,90.071770,2.471246,0.000000,3.000000,3314.927002,0.437839,12.627795,0.000000,13.000000,2.534092,2.237311,0.648562,0.000000,1.000000,49.339901,0.114908
6.000000,0.623422,0.000000,2.000000,51.329586,0.110570,37.377277,37.000000,43.000000,219.170593,6.629221,2.205470,2.000000,3.000000,3714.401367,0.391161,507.896912,0.000000,2.000000,16.129257,90.080414,2.393408,0.000000,2.000000,3422.734375,0.424494,12.638148,0.000000,2.000000,2.532017,2.241498,0.691445,0.000000,2.000000,46.279919,0.122634
7.000000,0.641707,0.000000,2.000000,49.866974,0.113755,37.401218,37.000000,45.000000,219.030304,6.630065,2.216098,2.000000,24.000000,3696.588135,0.392845,508.156342,0.000000,509.000000,16.121023,90.080215,2.407805,0.000000,3.000000,3402.268799,0.426828,12.622195,0.000000,2.000000,2.535217,2.237520,0.670000,0.000000,2.000000,47.761192,0.118770
8.000000,0.628101,0.000000,2.000000,50.947235,0.111421,37.369099,36.000000,58.000000,219.218567,6.629055,2.205121,2.000000,11.000000,3714.988525,0.391175,507.822083,0.000000,586.000000,16.131634,90.084602,2.398440,0.000000,13.000000,3415.553955,0.425469,12.616298,0.000000,17.000000,2.536402,2.238056,0.677714,0.000000,6.000000,47.217556,0.120222
9.000000,0.634375,0.000000,6.000000,50.443356,0.112778,37.376656,34.000000,121.000000,219.174240,6.644728,2.208530,0.000000,37.000000,3709.254639,0.392627,508.450256,0.000000,509.000000,16.111704,90.391014,2.411894,0.000000,6.000000,3396.500488,0.428781,12.617806,0.000000,6.000000,2.536098,2.243162,0.676237,0.000000,15.000000,47.320717,0.120220
10.000000,0.629137,0.000000,5.000000,50.863316,0.113582,37.189682,36.000000,55.000000,220.276154,6.714066,2.199814,0.000000,20.000000,3723.951172,0.397145,510.630188,0.000000,505.000000,16.042921,92.186981,2.385852,0.000000,5.000000,3433.573730,0.430732,12.575674,0.000000,5.000000,2.544595,2.270358,0.674216,0.000000,5.000000,47.462517,0.121720
11.000000,0.630259,0.000000,15.000000,50.772758,0.120944,34.081341,15.000000,61.000000,240.366135,6.540036,2.206366,0.000000,26.000000,3712.892822,0.423390,511.891632,0.000000,15.000000,16.003387,98.229408,2.422708,0.000000,15.000000,3381.340576,0.464905,14.033952,0.000000,15.000000,2.280185,2.693044,0.675599,0.000000,14.000000,47.365353,0.129644
