Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -24.082401, 11.313710, 296, 100, 109, 0.084862, 0.917431, 64941.000000, 595.789001, 0.053710
1.000000, -23.082401, 10.083356, 201, 100, 114, 0.055099, 0.877193, 65927.000000, 578.307007, 0.055334
2.000000, -22.082401, 8.986799, 163, 100, 137, 0.037181, 0.729927, 79141.000000, 577.671509, 0.055395
3.000000, -21.082401, 8.009494, 147, 100, 186, 0.024698, 0.537634, 107465.000000, 577.768799, 0.055385
4.000000, -20.082401, 7.138470, 128, 100, 275, 0.014545, 0.363636, 158966.000000, 578.058167, 0.055358
5.000000, -19.082401, 6.362167, 110, 100, 656, 0.005240, 0.152439, 379225.000000, 578.086914, 0.055355
6.000000, -18.082401, 5.670288, 106, 100, 1509, 0.002195, 0.066269, 872713.000000, 578.338623, 0.055331
7.000000, -17.082401, 5.053649, 103, 100, 3680, 0.000875, 0.027174, 2127636.000000, 578.161926, 0.055348
8.000000, -16.082401, 4.504069, 100, 100, 15617, 0.000200, 0.006403, 9030030.000000, 578.217957, 0.055342
9.000000, -15.082401, 4.014256, 100, 100, 103296, 0.000030, 0.000968, 59761056.000000, 578.541809, 0.055311
