Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min,demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,19.630630,2.000000,1723.000000,1.630106,1.445037,90.270271,0.000000,5071.000000,90.749702,6.644915,21.765766,0.000000,180.000000,376.370850,1.602207,1152.792847,2.000000,1723.000000,7.106220,84.858620,62.837837,2.000000,1723.000000,130.367310,4.625577,25.216217,2.000000,1723.000000,1.269025,1.856199,1.459459,0.000000,4.000000,21.925926,0.107433
1.000000,16.244095,2.000000,1521.000000,1.969947,1.164031,48.464565,0.000000,526.000000,169.030716,3.472908,56.322834,0.000000,4702.000000,145.447220,4.036021,1224.118164,2.000000,1521.000000,6.692164,87.718719,9.291339,2.000000,1521.000000,881.681335,0.665805,17.212599,2.000000,1521.000000,1.859103,1.233433,23.889763,0.000000,1640.000000,1.339486,1.711909
2.000000,3.206452,2.000000,49.000000,9.979879,0.253733,95.070969,-1.000000,3969.000000,86.167206,7.523165,25.503225,10.000000,1613.000000,321.214264,2.018124,1098.948364,2.000000,806.000000,7.454400,86.962090,33.425808,2.000000,49.000000,245.080093,2.645054,14.329032,2.000000,49.000000,2.233228,1.133886,1.548387,0.000000,38.000000,20.666668,0.122527
3.000000,10.157609,2.000000,1205.000000,3.150348,0.822185,46.054348,14.000000,1282.000000,177.876801,3.727768,26.228260,12.000000,1853.000000,312.334869,2.122989,1090.413086,2.000000,1205.000000,7.512749,88.261101,14.358696,2.000000,1205.000000,570.525330,1.162233,49.293480,2.000000,1205.000000,0.649173,3.989953,8.201087,0.000000,1109.000000,3.901922,0.663819
4.000000,21.067616,0.000000,1530.000000,1.518919,1.602547,66.864769,0.000000,2916.000000,122.515938,5.086191,33.975090,11.000000,2311.000000,241.117828,2.584378,1148.316772,0.000000,1530.000000,7.133920,87.348824,20.430605,0.000000,1530.000000,400.967072,1.554091,23.494661,0.000000,1530.000000,1.362012,1.787164,9.402135,0.000000,1114.000000,3.403482,0.715191
5.000000,12.473588,2.000000,2531.000000,2.565421,0.966212,67.025497,5.000000,3502.000000,122.222145,5.191838,31.444445,12.000000,3294.000000,260.522980,2.435707,1147.595581,2.000000,2531.000000,7.138403,88.893494,8.001822,2.000000,2531.000000,1023.766907,0.619826,29.557377,2.000000,2531.000000,1.082640,2.289534,4.322404,0.000000,1261.000000,7.403287,0.334816
6.000000,7.284900,0.000000,2881.000000,4.392648,0.572986,58.722935,0.000000,4110.000000,139.502563,4.618792,32.853275,-2.000000,4952.000000,249.351089,2.584040,1123.383179,0.000000,2881.000000,7.292258,88.358543,12.658832,0.000000,2881.000000,647.137146,0.995667,36.003563,0.000000,2881.000000,0.888801,2.831823,7.794872,0.000000,1350.000000,4.105263,0.613098
7.000000,12.470886,0.000000,3353.000000,2.565976,0.971491,64.113640,0.000000,5241.000000,127.773125,4.994496,28.144304,0.000000,3723.000000,291.071320,2.192461,1143.110229,0.000000,3353.000000,7.166413,89.049065,11.928552,0.000000,3353.000000,686.755615,0.929242,23.355837,0.000000,3353.000000,1.370107,1.819436,4.414346,0.000000,1493.000000,7.249092,0.343881
8.000000,11.961726,0.000000,3641.000000,2.675199,0.937024,66.076157,0.000000,4832.000000,123.978157,5.176090,29.473845,0.000000,4408.000000,277.941345,2.308840,1135.001587,0.000000,3641.000000,7.217611,88.910591,9.773214,0.000000,3641.000000,838.209412,0.765587,27.179480,0.000000,3641.000000,1.177359,2.129110,4.752225,0.000000,3515.000000,6.733687,0.372267
9.000000,10.999743,0.000000,5142.000000,2.909159,0.863867,61.727814,0.000000,5467.000000,132.711655,4.847808,28.745159,0.000000,5342.000000,284.987122,2.257508,1135.715088,0.000000,5142.000000,7.213077,89.193649,10.549342,0.000000,5142.000000,776.541321,0.828495,27.510511,0.000000,5142.000000,1.163192,2.160544,4.408260,-1.000000,4446.000000,7.259100,0.346204
