SNR,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min_demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0,2.079208,0.000000,7.000000,15.390476,9.040034,1.475248,1.000000,2.000000,86.765099,6.414120,3.009901,0.000000,7.000000,42.526314,13.086527,11.455445,0.000000,10.000000,11.173725,49.806286,0.792079,0.000000,7.000000,161.600006,3.443823,3.029703,0.000000,7.000000,10.562092,13.172621,1.158416,0.000000,7.000000,27.623932,5.036591
1,2.049505,2.000000,3.000000,15.613526,9.187750,1.475248,1.000000,2.000000,86.765099,6.613404,3.029703,2.000000,3.000000,42.248367,13.581890,10.930693,2.000000,12.000000,11.710145,49.001328,0.821782,1.000000,3.000000,155.759033,3.683977,2.920792,2.000000,3.000000,10.955932,13.093654,1.079208,1.000000,3.000000,29.651377,4.837994
2,1.980769,1.000000,2.000000,16.155340,9.462564,1.240385,1.000000,2.000000,103.193802,5.925586,2.894231,1.000000,3.000000,44.225914,13.826368,10.442307,1.000000,12.000000,12.257827,49.885162,0.692308,0.000000,2.000000,184.888885,3.307304,2.692308,1.000000,2.000000,11.885715,12.861737,0.990385,1.000000,2.000000,32.310680,4.731282
3,1.900901,1.000000,2.000000,16.834124,9.266580,1.369369,1.000000,2.000000,93.473686,6.675450,2.882883,1.000000,3.000000,44.400002,14.053578,10.135135,1.000000,8.000000,12.629333,49.407112,0.801802,1.000000,2.000000,159.640457,3.908652,2.513514,1.000000,3.000000,12.731182,12.252964,0.909910,1.000000,2.000000,35.168316,4.435661
4,1.773438,1.000000,2.000000,18.044052,9.160613,1.265625,1.000000,2.000000,101.135803,6.537530,2.781250,1.000000,3.000000,46.022472,14.366425,9.687500,1.000000,9.000000,13.212903,50.040356,0.718750,1.000000,2.000000,178.086960,3.712672,2.234375,1.000000,2.000000,14.321678,11.541566,0.898438,1.000000,2.000000,35.617390,4.640840
5,1.716129,1.000000,2.000000,18.646616,9.493219,1.232258,1.000000,2.000000,103.874344,6.816560,2.574193,1.000000,2.000000,49.724312,14.239828,9.167742,1.000000,8.000000,13.961999,50.713776,0.600000,1.000000,2.000000,213.333328,3.319058,1.974194,1.000000,2.000000,16.209150,10.920771,0.812903,1.000000,2.000000,39.365078,4.496788
6,1.745455,1.000000,4.000000,18.333334,9.696970,1.222727,1.000000,2.000000,104.684013,6.792929,2.559091,1.000000,4.000000,50.017761,14.217172,9.140909,1.000000,10.000000,14.002983,50.782829,0.636364,1.000000,4.000000,201.142868,3.535354,1.909091,1.000000,4.000000,16.761906,10.606060,0.786364,1.000000,4.000000,40.693642,4.368687
7,1.709091,1.000000,2.000000,18.723404,9.610047,1.207792,1.000000,2.000000,105.978500,6.791295,2.535065,1.000000,2.000000,50.491802,14.254417,9.088312,1.000000,8.000000,14.084023,51.102676,0.696104,0.000000,2.000000,183.880600,3.914123,1.794805,1.000000,2.000000,17.829233,10.092010,0.753247,0.000000,2.000000,42.482761,4.235431
8,1.702415,1.000000,3.000000,18.796822,9.620004,1.206763,1.000000,2.000000,106.068855,6.819174,2.528502,1.000000,3.000000,50.622849,14.288054,9.127536,1.000000,9.000000,14.023500,51.577850,0.626087,1.000000,3.000000,204.444443,3.537890,1.738164,1.000000,3.000000,18.410227,9.822014,0.767150,1.000000,3.000000,41.712849,4.335007
9,1.696548,1.000000,2.000000,18.861824,9.588967,1.210451,1.000000,2.000000,105.745743,6.841521,2.547459,1.000000,3.000000,50.246140,14.398354,9.133269,1.000000,8.000000,14.014697,51.621643,0.643337,1.000000,2.000000,198.962738,3.636167,1.686002,1.000000,2.000000,18.979813,9.529358,0.775647,1.000000,2.000000,41.255871,4.383992
10,1.691599,1.000000,3.000000,18.917015,9.600741,1.210032,0.000000,2.000000,105.782341,6.867588,2.543779,1.000000,3.000000,50.318840,14.437325,9.120171,1.000000,9.000000,14.034825,51.761917,0.638781,1.000000,3.000000,200.381790,3.625426,1.643034,1.000000,3.000000,19.476160,9.325111,0.772067,1.000000,3.000000,41.447197,4.381897
