SNR,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min_demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0,0.923077,0.000000,3.000000,34.666668,5.793603,1.250000,0.000000,2.000000,76.800003,7.845504,1.375000,0.000000,3.000000,69.818184,8.630054,8.971154,0.000000,7.000000,10.700964,56.306580,0.730769,0.000000,3.000000,131.368423,4.586602,1.605769,0.000000,3.000000,19.928143,10.078456,1.076923,0.000000,3.000000,29.714285,6.759204
1,0.947826,0.000000,1.000000,33.761467,6.175637,1.400000,1.000000,2.000000,68.571426,9.121813,1.417391,0.000000,1.000000,67.730064,9.235127,8.391304,0.000000,8.000000,11.440415,54.674217,0.756522,0.000000,1.000000,126.896545,4.929179,1.417391,0.000000,2.000000,22.576687,9.235127,1.017391,0.000000,1.000000,31.452991,6.628896
2,0.866667,0.000000,1.000000,36.923077,5.971520,1.173333,1.000000,2.000000,81.818184,8.084519,1.233333,0.000000,1.000000,77.837837,8.497933,8.020000,0.000000,7.000000,11.970074,55.259537,0.800000,0.000000,1.000000,120.000000,5.512173,1.406667,0.000000,1.000000,22.748816,9.692236,1.013333,0.000000,1.000000,31.578947,6.982085
3,0.883333,0.000000,1.000000,36.226414,6.403544,1.122222,1.000000,2.000000,85.544556,8.135321,1.227778,0.000000,1.000000,78.190048,8.900523,7.644444,0.000000,8.000000,12.558140,55.416836,0.783333,0.000000,1.000000,122.553185,5.678615,1.227778,0.000000,1.000000,26.063349,8.900523,0.905556,0.000000,1.000000,35.337425,6.564640
4,0.806452,0.000000,1.000000,39.680000,6.195787,1.145161,1.000000,5.000000,83.830986,8.798017,1.174194,0.000000,1.000000,81.758247,9.021065,7.232258,0.000000,6.000000,13.273863,55.563812,0.648387,0.000000,1.000000,148.059708,4.981412,1.170968,0.000000,1.000000,27.327826,8.996282,0.838710,0.000000,1.000000,38.153847,6.443618
5,0.823729,0.000000,1.000000,38.847736,6.454183,1.084746,1.000000,2.000000,88.500000,8.499336,1.172881,0.000000,1.000000,81.849709,9.189908,7.088136,0.000000,6.000000,13.543758,55.537853,0.637288,0.000000,1.000000,150.638290,4.993361,1.135593,0.000000,1.000000,28.179106,8.897742,0.820339,0.000000,1.000000,39.008266,6.427623
6,0.802230,0.000000,1.000000,39.888805,6.305933,1.083333,0.000000,2.000000,88.615379,8.515546,1.144953,0.000000,1.000000,83.846237,8.999907,7.063967,0.000000,6.000000,13.590097,55.526340,0.667840,0.000000,1.000000,143.746933,5.249561,1.144366,0.000000,1.000000,27.963078,8.995295,0.815141,0.000000,1.000000,39.257019,6.407417
7,0.778649,0.000000,2.000000,41.096832,6.152865,1.080701,1.000000,3.000000,88.831230,8.539675,1.127738,0.000000,2.000000,85.126144,8.911361,7.043348,0.000000,8.000000,13.629882,55.656372,0.670740,0.000000,2.000000,143.125473,5.300173,1.132811,0.000000,2.000000,28.248320,8.951445,0.821074,0.000000,2.000000,38.973320,6.488112
8,0.762552,0.000000,5.000000,41.964355,6.070602,1.071094,0.000000,2.000000,89.628006,8.526875,1.122038,0.000000,5.000000,85.558617,8.932435,7.035614,0.000000,8.000000,13.644864,56.009850,0.656648,0.000000,5.000000,146.197159,5.227508,1.121904,0.000000,5.000000,28.522942,8.931370,0.791538,0.000000,5.000000,40.427605,6.301362
9,0.780340,0.000000,4.000000,41.007751,6.164442,1.090623,0.000000,4.000000,88.023117,8.615574,1.133917,0.000000,4.000000,84.662254,8.957589,7.058927,0.000000,7.000000,13.599801,55.763290,0.667028,0.000000,4.000000,143.921951,5.269312,1.134951,0.000000,4.000000,28.195049,8.965755,0.792947,0.000000,4.000000,40.355766,6.264034
