SNR,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min_demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0,0.945946,0.000000,3.000000,33.828571,5.993150,1.243243,1.000000,2.000000,77.217392,7.876712,1.342342,0.000000,3.000000,71.516777,8.504566,8.945946,0.000000,8.000000,10.731118,56.678082,0.774775,0.000000,3.000000,123.906975,4.908676,1.477477,0.000000,3.000000,21.658537,9.360730,1.054054,0.000000,3.000000,30.358974,6.678082
1,0.948276,0.000000,1.000000,33.745453,6.246451,1.232759,1.000000,2.000000,77.874123,8.120386,1.284483,0.000000,1.000000,74.738258,8.461102,8.508620,0.000000,7.000000,11.282676,56.047695,0.706897,0.000000,1.000000,135.804886,4.656445,1.474138,0.000000,1.000000,21.707603,9.710392,1.025862,0.000000,1.000000,31.193277,6.757524
2,0.859375,0.000000,1.000000,37.236362,5.955604,1.234375,1.000000,2.000000,77.772148,8.554413,1.289062,0.000000,1.000000,74.472725,8.933406,7.968750,0.000000,7.000000,12.047059,55.224689,0.726562,0.000000,1.000000,132.129028,5.035192,1.398438,0.000000,2.000000,22.882681,9.691391,0.953125,0.000000,1.000000,33.573769,6.605306
3,0.798913,0.000000,1.000000,40.054420,5.861244,1.163043,1.000000,2.000000,82.542053,8.532696,1.222826,0.000000,1.000000,78.506668,8.971292,7.581522,0.000000,8.000000,12.662366,55.622009,0.750000,0.000000,1.000000,128.000000,5.502392,1.260870,0.000000,2.000000,25.379309,9.250399,0.853261,0.000000,1.000000,37.503185,6.259968
4,0.825279,0.000000,1.000000,38.774773,6.168381,1.126394,1.000000,2.000000,85.227722,8.419005,1.241636,0.000000,1.000000,77.317368,9.280355,7.472119,0.000000,7.000000,12.847761,55.848850,0.728625,0.000000,1.000000,131.755112,5.445957,1.182156,0.000000,1.000000,27.069183,8.835788,0.802974,0.000000,1.000000,39.851852,6.001667
5,0.765891,0.000000,1.000000,41.781376,6.147337,1.079070,1.000000,2.000000,88.965523,8.661025,1.108527,0.000000,1.000000,86.601395,8.897462,7.020155,0.000000,8.000000,13.674911,56.346439,0.607752,0.000000,1.000000,157.959183,4.878049,1.120930,0.000000,1.000000,28.547718,8.997013,0.756589,0.000000,1.000000,42.295082,6.072673
6,0.762232,0.000000,2.000000,41.981945,6.128596,1.055810,1.000000,2.000000,90.925415,8.489058,1.102446,0.000000,2.000000,87.079063,8.864027,7.003058,0.000000,6.000000,13.708297,56.306858,0.629205,0.000000,2.000000,152.573517,5.059011,1.116208,0.000000,2.000000,28.668493,8.974674,0.768349,0.000000,2.000000,41.647762,6.177772
7,0.764814,0.000000,2.000000,41.840263,6.112858,1.073210,0.000000,2.000000,89.451294,8.577749,1.114619,0.000000,2.000000,86.128075,8.908719,7.015100,0.000000,7.000000,13.684767,56.068970,0.647449,0.000000,2.000000,148.274216,5.174810,1.121482,0.000000,2.000000,28.533659,8.963574,0.774880,0.000000,2.000000,41.296722,6.193314
8,0.771137,0.000000,2.000000,41.497158,6.154942,1.077341,0.000000,3.000000,89.108269,8.598953,1.122692,0.000000,2.000000,85.508743,8.960931,7.010977,0.000000,6.000000,13.692813,55.959126,0.648833,0.000000,2.000000,147.957947,5.178754,1.121861,0.000000,2.000000,28.524042,8.954293,0.775905,0.000000,2.000000,41.242157,6.192998
9,0.762151,0.000000,4.000000,41.986412,6.109589,1.066817,0.000000,3.000000,89.987282,8.551866,1.115185,0.000000,4.000000,86.084396,8.939589,7.004137,0.000000,7.000000,13.706186,56.146843,0.642136,0.000000,4.000000,149.501068,5.147516,1.117655,0.000000,4.000000,28.631384,8.959389,0.766595,0.000000,4.000000,41.743019,6.145212
