Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -6.020600, 1.414214, 3818, 105, 105, 0.142039, 1.000000, 10111, 96.295235, 2.658491
1.000000, -5.020600, 1.260419, 3151, 105, 105, 0.117225, 1.000000, 11269, 107.323807, 2.385305
2.000000, -4.020600, 1.123350, 2483, 105, 105, 0.092374, 1.000000, 12494, 118.990479, 2.151433
3.000000, -3.020600, 1.001187, 1831, 105, 105, 0.068118, 1.000000, 10205, 97.190475, 2.634003
4.000000, -2.020600, 0.892308, 1272, 105, 105, 0.047321, 1.000000, 11568, 110.171425, 2.323652
5.000000, -1.020600, 0.795271, 822, 105, 105, 0.030580, 1.000000, 11627, 110.733330, 2.311860
6.000000, -0.020600, 0.708786, 466, 105, 105, 0.017336, 1.000000, 10591, 100.866669, 2.538004
7.000000, 0.979400, 0.631706, 281, 104, 116, 0.009463, 0.896552, 14684, 126.586205, 2.022337
8.000000, 1.979400, 0.563009, 173, 103, 164, 0.004121, 0.628049, 18166, 110.768295, 2.311131
9.000000, 2.979400, 0.501782, 118, 100, 340, 0.001356, 0.294118, 38554, 113.394119, 2.257613
10.000000, 3.979400, 0.447214, 106, 100, 949, 0.000436, 0.105374, 102239, 107.733406, 2.376236
11.000000, 4.979400, 0.398580, 102, 100, 3690, 0.000108, 0.027100, 381551, 103.401352, 2.475790
12.000000, 5.979400, 0.355234, 101, 100, 27639, 0.000014, 0.003618, 2821349, 102.078545, 2.507873
13.000000, 6.979400, 0.316603, 100, 100, 222648, 0.000002, 0.000449, 22509738, 101.100113, 2.532144
14.000000, 7.979400, 0.282173, 100, 100, 3789696, 0.000000, 0.000026, 385083013, 101.613167, 2.519359
