Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min,demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,3141.333252,13.000000,9070.000000,0.081494,93.380363,24.380953,3.000000,279.000000,21.000000,0.724757,23.638096,4.000000,141.000000,21.659950,0.702674,274.028564,13.000000,9070.000000,1.868418,8.145868,7.600000,5.000000,9070.000000,67.368423,0.225920,22.857143,10.000000,9070.000000,11.200000,0.679459,20.676191,2.000000,245.000000,12.381391,0.614628
1.000000,3402.257080,13.000000,8994.000000,0.075244,93.823822,20.514286,3.000000,175.000000,24.958218,0.565721,24.457144,3.000000,329.000000,20.934578,0.674453,234.333328,13.000000,8994.000000,2.184922,6.462194,7.133333,1.000000,8994.000000,71.775703,0.196715,28.495237,13.000000,8994.000000,8.983957,0.785811,17.209524,1.000000,201.000000,14.875484,0.474586
2.000000,3503.666748,19.000000,8029.000000,0.073066,91.562653,17.847618,3.000000,106.000000,28.687302,0.466419,26.771429,4.000000,139.000000,19.124866,0.699628,242.342850,19.000000,8029.000000,2.112709,6.333238,7.057143,19.000000,8029.000000,72.550606,0.184427,24.085714,19.000000,8029.000000,10.628707,0.629441,12.438095,1.000000,128.000000,20.581930,0.325049
3.000000,3249.857178,47.000000,7700.000000,0.078773,93.102852,22.466667,3.000000,188.000000,22.789316,0.643632,28.971428,3.000000,210.000000,17.672585,0.829982,214.742859,47.000000,7700.000000,2.384247,6.152016,4.752381,47.000000,7700.000000,107.735474,0.136148,17.314285,9.000000,7700.000000,14.785479,0.496025,10.000000,0.000000,95.000000,25.600000,0.286483
4.000000,3315.684326,42.000000,9611.000000,0.077209,90.773911,21.061403,3.000000,215.000000,24.309872,0.576601,24.105263,3.000000,189.000000,21.240175,0.659933,262.166656,42.000000,9611.000000,1.952956,7.177370,3.543860,42.000000,9611.000000,144.475250,0.097021,23.614035,42.000000,9611.000000,10.841011,0.646484,7.745614,1.000000,154.000000,33.050964,0.212053
5.000000,3257.466064,59.000000,7522.000000,0.078589,91.639656,26.030075,3.000000,217.000000,19.669556,0.732283,23.954887,3.000000,177.000000,21.373508,0.673903,222.488724,59.000000,7522.000000,2.301240,6.259095,4.142857,59.000000,7522.000000,123.586212,0.116548,19.210526,59.000000,7522.000000,13.326028,0.540434,6.977444,0.000000,107.000000,36.689655,0.196291
6.000000,3302.168457,44.000000,8443.000000,0.077525,92.038002,22.102041,2.000000,135.000000,23.165281,0.616028,27.117348,3.000000,245.000000,18.880903,0.755814,220.505096,44.000000,8443.000000,2.321942,6.145916,3.622449,3.000000,8443.000000,141.340851,0.100965,22.770409,44.000000,8443.000000,11.242661,0.634657,7.071429,0.000000,163.000000,36.202019,0.197095
7.000000,3104.121582,12.000000,9374.000000,0.082471,93.128059,20.619274,2.000000,244.000000,24.831137,0.618608,25.462875,3.000000,269.000000,20.107706,0.763923,223.082153,12.000000,9374.000000,2.295119,6.692782,4.922591,2.000000,9374.000000,104.010269,0.147685,23.835703,12.000000,9374.000000,10.740191,0.715105,5.786730,0.000000,85.000000,44.239147,0.173610
8.000000,3027.846680,9.000000,9940.000000,0.084549,92.268318,19.681177,2.000000,342.000000,26.014704,0.599749,20.810926,3.000000,342.000000,24.602461,0.634176,215.906525,9.000000,9940.000000,2.371397,6.579373,4.849339,6.000000,9940.000000,105.581413,0.147775,20.487410,4.000000,9940.000000,12.495480,0.624318,6.091336,0.000000,166.000000,42.026905,0.185623
9.000000,3098.148926,10.000000,18482.000000,0.082630,93.108574,18.683254,0.000000,300.000000,27.404219,0.561487,21.885017,2.000000,337.000000,23.395000,0.657710,208.372696,10.000000,18482.000000,2.457136,6.262218,4.487288,0.000000,18482.000000,114.100082,0.134856,19.805115,4.000000,18482.000000,12.925954,0.595202,5.594622,0.000000,238.000000,45.758232,0.168135
10.000000,3087.396484,9.000000,43915.000000,0.082918,93.084076,19.151943,0.000000,435.000000,26.733580,0.577425,21.783426,0.000000,391.000000,23.504108,0.656764,208.853943,9.000000,43915.000000,2.451474,6.296884,4.471125,1.000000,43915.000000,114.512573,0.134803,20.018291,7.000000,43915.000000,12.788304,0.603545,5.598712,0.000000,881.000000,45.724800,0.168799
11.000000,3083.857910,9.000000,109200.000000,0.083013,93.811157,19.276592,0.000000,8778.000000,26.560711,0.586395,21.888676,1.000000,4085.000000,23.391090,0.665855,208.451614,9.000000,109200.000000,2.456206,6.341112,4.647652,9.000000,109200.000000,110.163162,0.141382,20.075453,9.000000,109200.000000,12.751892,0.610697,5.600228,0.000000,1949.000000,45.712425,0.170359
