Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -4.771213, 1.224745, 2088, 105, 105, 0.077679, 1.000000, 12135, 115.571426, 2.215080
1.000000, -3.771212, 1.091555, 1503, 105, 105, 0.055915, 1.000000, 12742, 121.352379, 2.109559
2.000000, -2.771212, 0.972849, 1002, 105, 105, 0.037277, 1.000000, 12855, 122.428574, 2.091015
3.000000, -1.771212, 0.867053, 652, 105, 105, 0.024256, 1.000000, 13041, 124.199997, 2.061192
4.000000, -0.771212, 0.772762, 355, 105, 111, 0.012493, 0.945946, 14048, 126.558556, 2.022779
5.000000, 0.228788, 0.688725, 189, 104, 139, 0.005311, 0.748201, 16752, 120.517982, 2.124164
6.000000, 1.228788, 0.613826, 125, 101, 208, 0.002348, 0.485577, 23972, 115.250000, 2.221258
7.000000, 2.228788, 0.547073, 113, 101, 527, 0.000838, 0.191651, 55857, 105.990509, 2.415311
8.000000, 3.228788, 0.487580, 105, 100, 2217, 0.000185, 0.045106, 236249, 106.562469, 2.402347
9.000000, 4.228787, 0.434556, 100, 100, 15227, 0.000026, 0.006567, 1656930, 108.815262, 2.352611
10.000000, 5.228787, 0.387298, 100, 100, 108347, 0.000004, 0.000923, 11673758, 107.744171, 2.375998
11.000000, 6.228787, 0.345180, 100, 100, 1263546, 0.000000, 0.000079, 136059595, 107.680763, 2.377398
