Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, 0.000000, 0.707107, 294, 105, 116, 0.079203, 0.905172, 1677, 14.456897, 2.213476
1.000000, 1.000000, 0.630210, 225, 105, 122, 0.057633, 0.860656, 2055, 16.844263, 1.899757
2.000000, 2.000000, 0.561675, 177, 104, 157, 0.035231, 0.662420, 2266, 14.433121, 2.217123
3.000000, 3.000000, 0.500593, 138, 103, 206, 0.020934, 0.500000, 2118, 10.281553, 3.112370
4.000000, 4.000000, 0.446154, 123, 102, 275, 0.013977, 0.370909, 3022, 10.989091, 2.911979
5.000000, 5.000000, 0.397635, 112, 100, 597, 0.005863, 0.167504, 8455, 14.162479, 2.259491
6.000000, 6.000000, 0.354393, 104, 100, 1175, 0.002766, 0.085106, 16760, 14.263830, 2.243437
7.000000, 7.000000, 0.315853, 101, 100, 4803, 0.000657, 0.020820, 63801, 13.283573, 2.408990
8.000000, 8.000000, 0.281504, 100, 100, 14777, 0.000211, 0.006767, 226548, 15.331122, 2.087257
9.000000, 9.000000, 0.250891, 100, 100, 106065, 0.000029, 0.000943, 1446623, 13.639023, 2.346209
10.000000, 10.000000, 0.223607, 100, 100, 660038, 0.000005, 0.000152, 9032081, 13.684183, 2.338466
11.000000, 11.000000, 0.199290, 100, 100, 11667411, 0.000000, 0.000009, 159181803, 13.643285, 2.345476
