Eb/No,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min,demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0.000000,194.887924,3.000000,2162.000000,0.164197,82.198303,6.939655,1.000000,134.000000,4.611180,2.926953,6.241379,1.000000,70.000000,5.127072,2.632440,24.517241,3.000000,2162.000000,1.305204,10.340690,5.405172,1.000000,2162.000000,5.920255,2.279751,7.853448,1.000000,2162.000000,4.074643,3.312366,12.301724,1.000000,87.000000,2.601261,5.188525
1.000000,348.737701,2.000000,1587.000000,0.091760,93.763222,6.450819,1.000000,88.000000,4.960610,1.734397,6.172131,1.000000,58.000000,5.184595,1.659468,19.065575,2.000000,1587.000000,1.678418,5.126058,4.590164,2.000000,1587.000000,6.971429,1.234133,6.754098,2.000000,1587.000000,4.737864,1.815938,10.303279,1.000000,84.000000,3.105807,2.770187
2.000000,294.738861,3.000000,1355.000000,0.108571,102.559898,6.471338,0.000000,62.000000,4.944882,2.251823,5.573248,1.000000,47.000000,5.741714,1.939316,22.012739,3.000000,1355.000000,1.453704,7.659744,5.070064,3.000000,1355.000000,6.311558,1.764223,5.955414,1.000000,1355.000000,5.373262,2.072298,7.649682,0.000000,107.000000,4.183181,2.661850
3.000000,127.184464,2.000000,3231.000000,0.251603,83.309479,5.092233,0.000000,55.000000,6.284080,3.335559,7.747573,0.000000,277.000000,4.130326,5.074883,18.286407,2.000000,3231.000000,1.749934,11.978123,4.383495,2.000000,3231.000000,7.300110,2.871315,5.441748,2.000000,3231.000000,5.880464,3.564501,6.703884,0.000000,116.000000,4.773353,4.391237
4.000000,171.829086,2.000000,2745.000000,0.186232,87.216446,6.600000,0.000000,350.000000,4.848485,3.350007,7.378182,1.000000,114.000000,4.337112,3.744993,21.665455,2.000000,2745.000000,1.477006,10.996881,3.989091,2.000000,2745.000000,8.021878,2.024770,6.232727,2.000000,2745.000000,5.134189,3.163587,5.221818,0.000000,122.000000,6.128134,2.650474
5.000000,319.922943,3.000000,1309.000000,0.100024,96.163414,6.187605,0.000000,127.000000,5.171629,1.859889,6.822445,0.000000,139.000000,4.690400,2.050711,22.092127,3.000000,1309.000000,1.448480,6.640519,5.976550,3.000000,1309.000000,5.354260,1.796449,7.063652,3.000000,1309.000000,4.530235,2.123214,6.549414,0.000000,685.000000,4.885933,1.968643
6.000000,336.098724,2.000000,1433.000000,0.095210,99.946602,6.380425,0.000000,108.000000,5.015339,1.897365,7.028936,0.000000,157.000000,4.552609,2.090214,20.965958,2.000000,1433.000000,1.526284,6.234704,5.183830,2.000000,1433.000000,6.173042,1.541530,6.926808,1.000000,1433.000000,4.619732,2.059844,5.360851,0.000000,101.000000,5.969201,1.594171
7.000000,284.086609,2.000000,2840.000000,0.112642,98.345558,7.153029,0.000000,1079.000000,4.473629,2.476247,8.337081,0.000000,5603.000000,3.838274,2.886144,20.829481,2.000000,2840.000000,1.536284,7.210783,5.407870,2.000000,2840.000000,5.917302,1.872105,6.894441,2.000000,2840.000000,4.641420,2.386729,5.058921,0.000000,175.000000,6.325459,1.751305
8.000000,362.827759,2.000000,3773.000000,0.088196,98.307365,7.741016,0.000000,150.000000,4.133824,2.097411,7.594708,0.000000,168.000000,4.213460,2.057769,23.988428,2.000000,3773.000000,1.333977,6.499610,5.872775,2.000000,3773.000000,5.448872,1.591215,8.064560,2.000000,3773.000000,3.967978,2.185074,6.006361,0.000000,230.000000,5.327685,1.627410
9.000000,323.153229,2.000000,16437.000000,0.099024,99.609444,6.436204,0.000000,379.000000,4.971874,1.983909,6.612709,0.000000,1083.000000,4.839167,2.038316,20.155264,2.000000,16437.000000,1.587675,6.212702,5.045133,2.000000,16437.000000,6.342747,1.555123,6.901617,2.000000,16437.000000,4.636595,2.127369,4.979899,0.000000,990.000000,6.425833,1.535015
10.000000,326.415833,1.000000,57641.000000,0.098034,101.510246,6.236591,0.000000,1340.000000,5.131008,1.939483,6.385829,0.000000,1052.000000,5.011096,1.985893,20.095606,1.000000,57641.000000,1.592388,6.249420,4.775243,1.000000,57641.000000,6.701229,1.485026,6.651155,1.000000,57641.000000,4.811194,2.068406,4.806108,0.000000,821.000000,6.658194,1.494625
11.000000,318.916504,0.000000,107454.000000,0.100340,109.560005,6.270666,0.000000,14343.000000,5.103126,2.154213,6.402761,0.000000,23230.000000,4.997844,2.199593,19.857172,0.000000,107454.000000,1.611508,6.821697,4.831017,0.000000,107454.000000,6.623863,1.659639,6.643891,0.000000,107454.000000,4.816455,2.282430,4.835668,0.000000,17872.000000,6.617494,1.661237
